Video Id,Video Title,Link,BERTopic Topics
-1B7cVoZr1c,Marine reacts to the Philippine Light Reaction Regiment (LRR),https://www.youtube.com/watch?v=-1B7cVoZr1c,"Topic 6: korean war, filipino soldiers, (The Korean War and Filipino Soldiers) (100.00%)
"
-9bfDHHneyU,SHOWING MY SISTER SB19 'GENTO' Music Video,https://www.youtube.com/watch?v=-9bfDHHneyU,"Topic 0: sing song, song sing, (Singing and Songs) (66.67%)

Topic 2: enjoyed video, video video (Enjoying and Watching Videos) (33.33%)
"
-C5iB25BRsA,10 Reasons/Do not Retire TO the Philippines/Moving to the Philippines/Philippine/Dumaguete,https://www.youtube.com/watch?v=-C5iB25BRsA,"Topic 8: food philippines, food filipino, (Filipino Food) (9.09%)

Topic 37: philippines live, living philippines, (Living in the Philippines) (54.55%)

Topic 43: philippine, philippines, filipinos, philippines (Safety in the Philippines) (9.09%)

Topic 96: visit philippines, living philippines, (Visiting and Living in the Philippines) (9.09%)

Topic 107: hospital walks, hospital walks (Hospitals and Medical Care) (9.09%)

Topic 111: largest species shark, whale (Whale Sharks in Philippine Waters) (9.09%)
"
-GVbt3qdq70,Christmas is NEXT LEVEL in the Philippines | Latinos react to Viral Filipino Singing TikToks,https://www.youtube.com/watch?v=-GVbt3qdq70,"Topic 0: sing song, song sing, (Singing and Songs) (16.67%)

Topic 4: filipino music, vocal, singers, (Filipino Music and Vocals) (33.33%)

Topic 12: happy birthday happy, happy (Happy Birthday) (16.67%)

Topic 15: christmas philippines christmas, christmas (Christmas in the Philippines) (16.67%)

Topic 74: christmas tree, christmas spirit, (Christmas Tree and Spirit) (16.67%)
"
-JTkbbE_KP4,RAPSTAR REACTION! FLOW G is the FILIPINO DRAKE!,https://www.youtube.com/watch?v=-JTkbbE_KP4,
-JlBNKlG3Yw,Port Barton in the Philippines: Foreigners first impressions - Where are the tourists?!?!,https://www.youtube.com/watch?v=-JlBNKlG3Yw,"Topic 0: sing song, song sing, (Singing and Songs) (14.29%)

Topic 3: tiles, walls, porch, cement, (Home Construction and Materials) (14.29%)

Topic 10: beaches, beach, sand beaches, (Beaches and Walking on the Beach) (28.57%)

Topic 33: spicy spicy spicy, spicy (Spicy Food) (14.29%)

Topic 44: cafe, restaurants, restaurant, hotel, (Cafes, Restaurants, and Hotels) (14.29%)

Topic 87: mayon volcano, volcano, beautiful (Mayon Volcano and Scenery) (14.29%)
"
-KHOXPq_M-Q,Philippines VS. Thailand - 7 BIG differences (Girlfriend Experience!),https://www.youtube.com/watch?v=-KHOXPq_M-Q,"Topic 1: video philippines, philippines reaction (Philippines Reaction Videos) (9.09%)

Topic 8: food philippines, food filipino, (Filipino Food) (9.09%)

Topic 13: filipinos love, culture filipinos, (Filipino Culture and Love for Filipinos) (18.18%)

Topic 19: dating filipino, filipino dating, (Filipino Dating and Women) (18.18%)

Topic 20: philippines, philippine, filipinos, filipino, (The Philippines and Spanish Colonization ) (9.09%)

Topic 32: solar philippines, philippines, foreign (Solar Power in the Philippines) (18.18%)

Topic 43: philippine, philippines, filipinos, philippines (Safety in the Philippines) (9.09%)

Topic 81: airport, flight, arrived, traveling, (Airports and Flights) (9.09%)
"
-NkPxyvAqzA,Why Americans Love Filipino Culture,https://www.youtube.com/watch?v=-NkPxyvAqzA,"Topic 13: filipinos love, culture filipinos, (Filipino Culture and Love for Filipinos) (76.47%)

Topic 55: foreigners, countries, overseas, country, (Foreigners and Countries) (11.76%)

Topic 86: filipinos, filipino people, filipino (Filipino People and Culture) (5.88%)

Topic 111: largest species shark, whale (Whale Sharks in Philippine Waters) (5.88%)
"
-O-ZnlGZq-4,What's It Like Living In The Philippines? 🇵🇭 | Foreigner's Perspective,https://www.youtube.com/watch?v=-O-ZnlGZq-4,"Topic 1: video philippines, philippines reaction (Philippines Reaction Videos) (12.50%)

Topic 41: filipino food, yummy, food, (Yummy Filipino Food) (12.50%)

Topic 59: feel foreigners philippines, philippines (Foreigners' Feelings About the Philippines) (12.50%)

Topic 66: filipinos, philippines philippines, philippines (The Philippines) (25.00%)

Topic 96: visit philippines, living philippines, (Visiting and Living in the Philippines) (37.50%)
"
-P_7E7gq6vs,Foreigner cooks Filipino pork adobo for the first time,https://www.youtube.com/watch?v=-P_7E7gq6vs,"Topic 2: enjoyed video, video video (Enjoying and Watching Videos) (10.00%)

Topic 5: chicken, chicken chicken, chicken (Chicken and Fried Chicken) (20.00%)

Topic 9: philippines, manila, travel, trip, (Travel to the Philippines and Manila) (10.00%)

Topic 17: tasty, flavor, flavors, delicious, (Taste and Flavor) (10.00%)

Topic 41: filipino food, yummy, food, (Yummy Filipino Food) (10.00%)

Topic 60: hungry, breakfast, lunch, eat, (Hunger and Meals) (10.00%)

Topic 73: mahirap santa claus, mahirap (Santa Claus and Blessings) (10.00%)

Topic 96: visit philippines, living philippines, (Visiting and Living in the Philippines) (10.00%)

Topic 116: lot food lot, food (Lots of Food) (10.00%)
"
-Ts46vj5sEc,Real Life Fathers of 18 Top Filipino Actors ll You didn't know in 2023,https://www.youtube.com/watch?v=-Ts46vj5sEc,"Topic 1: video philippines, philippines reaction (Philippines Reaction Videos) (20.00%)

Topic 56: celebrities philippines, filipinos, filipino (Celebrities in the Philippines) (20.00%)

Topic 72: manny, fighter, manny pacquiao, (Manny Pacquiao) (60.00%)
"
-WaDvcu7mcw,Philippines Balut 🇵🇭 Foreigner tries Balut #filipino #philippines,https://www.youtube.com/watch?v=-WaDvcu7mcw,"Topic 5: chicken, chicken chicken, chicken (Chicken and Fried Chicken) (25.00%)

Topic 38: sweet corn, corn corn, (Sweet Corn) (25.00%)

Topic 116: lot food lot, food (Lots of Food) (50.00%)
"
-Wgdk-C7Rb8,A Foreigner's Guide to Thriving in the Philippines 🇵🇭 #shorts #philippines,https://www.youtube.com/watch?v=-Wgdk-C7Rb8,"Topic 2: enjoyed video, video video (Enjoying and Watching Videos) (16.67%)

Topic 8: food philippines, food filipino, (Filipino Food) (16.67%)

Topic 12: happy birthday happy, happy (Happy Birthday) (16.67%)

Topic 17: tasty, flavor, flavors, delicious, (Taste and Flavor) (16.67%)

Topic 37: philippines live, living philippines, (Living in the Philippines) (16.67%)

Topic 116: lot food lot, food (Lots of Food) (16.67%)
"
-WuFjxvGJnI,Trying Pancit Canton In The Philippines For The First Time🇵🇭 #shorts,https://www.youtube.com/watch?v=-WuFjxvGJnI,"Topic 73: mahirap santa claus, mahirap (Santa Claus and Blessings) (100.00%)
"
-XCc67Ijcz8,"BAGYO KA LANG PINOY KAMI, PINOYS aren't scared of ANYTHING especially not TYPHOONS | HONEST REACTION",https://www.youtube.com/watch?v=-XCc67Ijcz8,"Topic 1: video philippines, philippines reaction (Philippines Reaction Videos) (25.00%)

Topic 2: enjoyed video, video video (Enjoying and Watching Videos) (25.00%)

Topic 56: celebrities philippines, filipinos, filipino (Celebrities in the Philippines) (25.00%)

Topic 67: storm, typhoon, typhoons, storms, (Storms and Typhoons) (25.00%)
"
-Ya6eSQ3wng,"Foreigners Guess FILIPINA CELEBRITIES, FULL OR HALF FILIPINO? FUNNY REACTION",https://www.youtube.com/watch?v=-Ya6eSQ3wng,"Topic 0: sing song, song sing, (Singing and Songs) (28.57%)

Topic 2: enjoyed video, video video (Enjoying and Watching Videos) (14.29%)

Topic 22: wah wah wah, wah (Exclamations and Interjections) (7.14%)

Topic 49: speak spanish, filipino spanish, (Spanish Language and the Philippines) (14.29%)

Topic 56: celebrities philippines, filipinos, filipino (Celebrities in the Philippines) (7.14%)

Topic 117: sexy sexy, filipino chinese, (Filipino Beauty and Attractiveness) (28.57%)
"
-_E2KyNAvqg,Just How!? Waleska & Efra react to Philippines' Longest Single Breath Sustained Notes While Singing,https://www.youtube.com/watch?v=-_E2KyNAvqg,"Topic 0: sing song, song sing, (Singing and Songs) (73.33%)

Topic 4: filipino music, vocal, singers, (Filipino Music and Vocals) (13.33%)

Topic 43: philippine, philippines, filipinos, philippines (Safety in the Philippines) (6.67%)

Topic 70: singing japanese, wow japanese, (Singing in Japanese) (6.67%)
"
-cOD9GglwzU,"FILIPINO POLICE Take FOREIGNERS Travelling In Zamboanga, Mindanao!",https://www.youtube.com/watch?v=-cOD9GglwzU,"Topic 9: philippines, manila, travel, trip, (Travel to the Philippines and Manila) (10.00%)

Topic 10: beaches, beach, sand beaches, (Beaches and Walking on the Beach) (10.00%)

Topic 12: happy birthday happy, happy (Happy Birthday) (10.00%)

Topic 30: beautiful beach beautiful, beach (Beautiful Beaches) (30.00%)

Topic 81: airport, flight, arrived, traveling, (Airports and Flights) (10.00%)

Topic 82: fun, wow, town, mall, (Fun and Excitement) (10.00%)

Topic 95: filipino coffee, filipino, kananga, (Filipino Coffee) (10.00%)

Topic 105: die die die, die (Beach Fun and Nonsense) (10.00%)
"
-fWzHd63UCA,Americans React to Philippines Eagle vs. Bald Eagle,https://www.youtube.com/watch?v=-fWzHd63UCA,"Topic 35: philippine crocodile, species crocodile, (Philippine Crocodile) (20.00%)

Topic 50: philippine eagle, eagle philippine (The Philippine Eagle) (80.00%)
"
-iQod4ZhOB8,JAPANESE REACTION/The Kwaks Production - Anime medley part1,https://www.youtube.com/watch?v=-iQod4ZhOB8,"Topic 0: sing song, song sing, (Singing and Songs) (10.00%)

Topic 4: filipino music, vocal, singers, (Filipino Music and Vocals) (30.00%)

Topic 63: watching video, japanese anime, (Japanese Anime and Lessons) (10.00%)

Topic 70: singing japanese, wow japanese, (Singing in Japanese) (40.00%)

Topic 79: uptown, uptown mall, street (Uptown Mall and Streets) (10.00%)
"
-laaTEnlB4U,"EXTRAORDINARY FILIPINO LIFE of The ""Lostboys"" // Foreigners in Remote Palawan",https://www.youtube.com/watch?v=-laaTEnlB4U,"Topic 15: christmas philippines christmas, christmas (Christmas in the Philippines) (20.00%)

Topic 16: tagay thai tagay, speak (Tagalog Language and Phrases) (20.00%)

Topic 21: eat eat eat, hungry (Eating, Hunger, and Food) (20.00%)

Topic 82: fun, wow, town, mall, (Fun and Excitement) (20.00%)

Topic 86: filipinos, filipino people, filipino (Filipino People and Culture) (20.00%)
"
-nW5dsB-z4E,Living in Province Vs City in the Philippines which is better?...Foreigner’s Opinion,https://www.youtube.com/watch?v=-nW5dsB-z4E,"Topic 1: video philippines, philippines reaction (Philippines Reaction Videos) (12.50%)

Topic 2: enjoyed video, video video (Enjoying and Watching Videos) (12.50%)

Topic 8: food philippines, food filipino, (Filipino Food) (12.50%)

Topic 11: philippines, manila, shopping malls, (Philippines, Manila, and Shopping Malls) (25.00%)

Topic 37: philippines live, living philippines, (Living in the Philippines) (25.00%)

Topic 84: university philippines, universities philippines, (Universities in the Philippines) (12.50%)
"
