Video Id,Video Title,Channel Id,Video Tags,Channel Title
r5_rGPunG-w,HE QUIT HIS JOB! | We're moving to the Philippines,UCqie0bD3ltJm2qGDbiKjm-Q,"['moving', 'travelling', 'parenting', 'filipino', 'american family']",Our Half Asian Adventure
SgrfCgr4cyU,Foreigner tries homemade DINUGUAN + BAGOONG at the market in Cebu City,UCcAd5Np7fO8SeejB1FVKcYw,"['dinuguan', 'foreigner dinuguan', 'best dinuguan', 'homemade dinuguan', 'bagoong', 'foreigner tries bagoong', 'bangoong and mango', 'filipino street food', 'Philippines street food', 'pig blood', 'food review', 'best ever food review show', 'sonny side', 'pork organ stew', 'filipino fermented shrimp paste', 'fermented shrimp paste']",Best Ever Food Review Show
MovIpxxyOlo,Philippines SCARIEST FOOD! Catching and eating Wild Tamilok in Palawan,UCcAd5Np7fO8SeejB1FVKcYw,"['tamilok philippines', 'tamilok', 'catching takilok', 'palawan food', 'kinabuchs', 'bizarre philippines', 'filipino food', 'filipino street food', 'strange filipino food']",Best Ever Food Review Show
C__iyWJkjgc,Balut! Philippines VS Vietnam (Who does it better?),UCcAd5Np7fO8SeejB1FVKcYw,"['balut', 'philippines balut', 'developed duck egg', 'fertilized duck egg', 'trứng vịt lộn', 'hột vịt lộn', 'Versus', 'vietnamese balut']",Best Ever Food Review Show
gJ9rEQGJBF4,"What to Eat in Da Lat, Vietnam! (Filipinos will be Jealous😅)",UCcAd5Np7fO8SeejB1FVKcYw,"['filipino food', 'american eats balut', 'foreigner eats balut', 'vietnamese food', 'vietnam food', 'vietnam street food', 'vietnamese street food', 'Philippines food', 'flaming balut', 'best ever food review show', 'travel food show', 'travel vlog', 'food show', 'travel show', 'sonny side', 'weird food', 'bizarre food', 'da lat food', 'where to eat in da lat', 'da lat street food', 'da lat vietnam', 'dalat food', 'where to eat dalat']",Best Ever Food Review Show
GtBth3A_C9A,Eating at Jollibee for First Time REACTION (Filipino Fast Food in Cerritos) : Kid Foodie Reviews,UCleKsM8arVjfE1GIaklqGRw,"['jollibee first time', 'jolibe', 'first time eating jollibee', 'eating jollibee', 'filpino food', 'Philippines', 'jollibee taste test', 'jollibee food reaction', 'filipino cuisine', 'jollibee reaction', 'mukbang', 'Jollibee', 'eating jollibee first time', 'Eating Jollibee for the first time', 'first time eating jollibee food reaction', 'cerritos jollibee', 'FOOD TASTE TEST REACTION', 'jollibee food taste test reaction']",Look Who's Blogging
86gs985X5tU,Eating Filipino Kamayan Dinner First Time REACTION (Filipino Food): Traveling with Kids,UCleKsM8arVjfE1GIaklqGRw,"['best family travel vlog', 'best Kids travel video', 'best kids travel channel', 'kids videos for kids', 'kids shows', 'fun things to do with kids', 'travel with kids']",Look Who's Blogging
2qqc_Mx3zuI,American Kids Try Filipino Snacks | First Time REACTION (Universal Yums Unboxing Taste Test 2020),UCleKsM8arVjfE1GIaklqGRw,"['Universal Yums', 'Yum box', 'filipino snacks', 'Philippines snack', 'yum yum box', 'snack box subscription']",Look Who's Blogging
XAWlVODAJ5s,Stranded FOREIGNERS create PHILIPPINES QUARANTINE GAMES,UCuS5fmeEDpnW5JPMdRhGm7A,"['Philippines', 'manila', 'quarantine activity', '#Philippines', '#QuarantineChallenge', 'Foreigners react to Quarantine in Philippines', '#WeSmileAsOne']",Making it happen Vlog
PVEeScXdSVU,Philippines STRANGEST food! ETAG in Sagada | Travel Philippines Vlog,UC_DmOS_FBvO4H27U7X0OtRg,"['filipino food', 'street food', 'philippines travel', 'etag', 'etag sagada', 'etag food', 'igorot', 'strangest', 'sagada', 'philippines', 'filipino', 'travel', 'manila', 'travel vlog', 'pinoy', 'philippines travel vlog', 'food', 'restaurant', 'best', 'delicious', 'tasty', 'vlog', 'philippines vlog', 'travel philippines', 'filipina', 'kalinga', 'foreigner in the philippines', 'palawan', 'vlogger', '2018', 'whang od', 'kalinga tattoo', 'best ever food review show', 'etag igorot food']",Fearless & Far
