ID,Level,Topics,Topic Label,Conceptual Relation,Filipino Context
Z140,4,driver busy journey,,4,1
Z142,4,clothes shirt shoe bunch,,4,1
Z139,4,flight airport plane,,5,1
Z141,4,short luck wave,,2,1
Z143,4,property concrete land,,4,2
Z145,4,plant house-house field pressure board space,,2,1
Z144,4,wall pipe folk jay,,1,1
Z134,4,meet advice online,,3,1
Z135,4,plan month corner week project,,3,1
Z136,4,pick start notice comfortable process difference boy,,2,1
Z138,4,cheaper cheap,,5,2
Z137,4,peso price dollar,,5,4
Z183,4,electricity internet average,,3,3
Z182,4,daniel gas dress,,1,2
Z181,4,filipina wife,,5,5
Z176,4,love flower pandemic,,3,1
Z177,4,surprise curious davao,,2,5
Z175,4,birthday happy-birthday cake,,5,1
Z178,4,sell bang leachon,,3,5
Z180,4,daily vlogger budget husband,,3,3
Z179,4,challenge bad-bad san-miguel,,2,4
Z159,4,trash throw environment,,5,2
Z160,4,gift form special santa,,4,1
Z158,4,extra list double,,2,1
Z164,4,shopping mall supermarket,,5,3
Z165,4,store grocery cross,,3,2
Z161,4,christmas christmas-christmas merry-christmas,,5,4
Z163,4,spirit tradition holy,,5,3
Z162,4,holiday december september life,,3,3
Z115,4,dry plastic commercial,,2,1
Z17,4,floor roof window door bathroom bedroom,,5,1
Z14,4,sit evening sleep bus tower station,,3,1
Z110,4,hall line machine gym match vehicle character,,2,1
Z16,4,light sunset drop destination,,3,2
Z116,4,clean careful step dog cut,,2,1
Z112,4,exciting travel vegan,,2,2
Z113,4,fit sign tall design flow,,2,1
Z19,4,wood farm touch,,3,2
Z118,4,cook cooking,,5,3
Z117,4,rest heavy leave wet block,,2,1
Z18,4,size foot bigger china,,3,2
Z111,4,change screen angry,,1,1
Z114,4,afternoon catch coat,,1,1
Z15,4,tomorrow weather sun quick tonight cold,,4,2
Z128,4,body eye human,,5,1
Z132,4,shot air shoot,,4,1
Z130,4,background glass tone,,3,1
Z133,4,photo picture distance ground,,4,1
Z131,4,cat gun bet,,1,1
Z129,4,dead noise ship,,2,2
Z121,4,blue white dark sky brown black skin,,5,1
Z119,4,pool swim ocean,,5,3
Z120,4,typhoon river,,4,4
Z122,4,sand waterfall rock,,4,4
Z127,4,shark whale,,5,4
Z124,4,tree mountain grass green,,5,3
Z126,4,animal specie snake bird eagle,,5,4
Z125,4,feed bar monkey crocodile,,3,4
Z123,4,forest jungle bamboo,,5,4
Z13,4,table wine paul salamat,,2,3
Z11,4,toilet shower,,5,1
Z12,4,joy film entrance,,2,2
Z172,4,eat-eat africa health-benefit,,3,1
Z174,4,movement martial-art senior,,4,2
Z173,4,hot-hot fancy cheer,,2,1
Z166,4,yung ako ayo,,1,4
Z168,4,celebrity model nose,,3,2
Z167,4,mga lang pinoy,,1,5
Z170,4,wind rough megabit,,2,1
Z171,4,lady jazz hat,,3,1
Z169,4,prejudice accent wedding,,3,2
Z154,4,spot tour view guide drone,,5,3
Z153,4,boat paradise port,,5,4
Z149,4,bgc manila-manila metro grab venice,,5,5
Z152,4,friendly traffic,,2,3
Z151,4,safe security stay lot police,,5,2
