Id,Level,Texts,General Category,Specific Category
Z41,1,mind history language spanish true sense war,Culture,
Z35,2,airport business flight company issue online plane,Travel,
Z211,3,airport flight plane terminal board,Travel,Airport Terminal
Z143,4,airport terminal,Travel,Airport Terminal
Z142,4,flight plane board,Travel,Plane Boarding
Z210,3,business company issue online reason card transportation,Lifestyle,
Z137,4,internet hotel wifus average haircut luke shave,Lifestyle,
Z141,4,transportation public bus,Travel,Bus Transportation 
Z134,4,business company issue reason deal owner aware,Lifestyle,
Z140,4,phone fee charge app,Lifestyle/Others,
Z135,4,western personal figure standard base mad human,,
Z136,4,cash card,Others,Payment Options
Z138,4,service bank tax account,Lifestyle,
Z139,4,online ticket class stand model club tired,,
Z29,3,passport visa major expat document immigration culture-shock,Travel,Passport and Travel Requirements
Z132,4,immigration visa,Travel,Visa and Immigration
Z133,4,passport major expat document culture-shock,Travel,
Z31,2,history spanish war population government southeast huge,Culture,
Z22,3,huge population government southeast city asian american,Politics,
Z15,4,southeast population city nation,Politics,
Z17,4,asian vietnam singapore,Politics,
Z14,4,government capital president territory law,Politics,
Z16,4,huge american entire biggest ton,Politics,
Z18,4,largest world whale-shark cebu specie magellan shark,Travel,
Z21,3,history spanish war spain influence military soldier,Culture,
Z12,4,history spain european,Culture,
Z13,4,war military soldier force,Politics,
Z11,4,influence spanish,Culture,Spanish Influence
Z32,2,true popular actual instagram social beauty national,Lifestyle/Entertainment,Instagram Influencers
Z24,3,beauty natural brand product universe celebrity tiny,Lifestyle/Entertainment,Beauty Products
Z115,4,celebrity actress makeup actor attractive,Entertainment,
Z116,4,beauty natural universe,Entertainment,
Z117,4,brand product tiny exciting sunny,Lifestyle,Brand Products
Z23,3,true popular actual instagram social national medium,Media / Lifestyle,
Z112,4,unique true,Others,
Z111,4,instagram lifestyle blog request tone,Lifestyle,
Z113,4,actual solid key percent finger energy,Others,
Z114,4,popular honest original traditional london raw package,,
Z110,4,national official international san,,
Z19,4,social medium,,
Z33,2,mind sense single main woman conversation leave,Lifestyle,
Z26,3,sense single main woman conversation leave heart,Lifestyle,
Z121,4,sense leave fan funny fair scene angry,Others,
Z123,4,care pain dead lie soul senior,Others,
Z125,4,training train skill,,
Z127,4,main happen,Others,
Z120,4,single woman conversation partner english-english read contact,Lifestyle,
Z124,4,art practice attention smart race afraid nose,Entertainment / Others,
Z122,4,heart pop tough familiar holy dance surprising,,
Z126,4,station common machine police complete trash,,
Z25,3,mind positive negative book opinion offer,,
Z118,4,negative positive,Others,
Z119,4,mind book opinion offer,,
Z34,2,language school english speak student tagalog language-language,Culture,English and Tagalog
Z27,3,language english speak tagalog language-language latin,Culture,English and Tagalog
Z129,4,english speak tagalog latin,Culture,English and Tagalog
Z128,4,language-language language,Culture,Language
Z28,3,school student college study university learn teacher,Lifestyle,Student Teacher Relations
Z131,4,school student learn teacher,Lifestyle,Student Teacher Relation
Z130,4,college study university campus,Lifestyle,University Campus
Z43,1,sauce spicy delicious pork dish meat crispy,Food,
Z312,2,mukbang spaghetti juicy jollibee yum burger jollibee-jollibee,Food,Jollibee / Jollibee Mukbang
Z226,3,spaghetti jollibee burger gravy jollibee-jollibee chicken-chicken mcdonald,Food,Jollibee / Jollibee menu items
Z195,4,burger gravy chicken-chicken mcdonald jolly sandwich steak,Food,Fast Food brands
Z196,4,jollibee jollibee-jollibee pie,Food,Jollibee
Z197,4,spaghetti hot-dog,Food,
Z227,3,mukbang juicy yum fork chain salad bone,Food,
Z199,4,yum chain item donut,Food,
Z1100,4,mukbang fork bone salad lee,Food,
Z198,4,juicy bun george,Food / Others,
Z310,2,cheese sugar cook milk ingredient fish cooking,Food,
Z221,3,sugar milk coconut sweet-sweet lime powder candy,Food,
Z181,4,coconut lime powder candy sticky,Food,
Z180,4,sugar milk sweet-sweet,Food,
Z220,3,cook ingredient cooking recipe pinoy-planet,Food,Cooking Recipe
Z178,4,cook ingredient recipe,Food,Cooking Recipe
Z179,4,pinoy-planet cooking,Food,Pinoy-Planet Cooking Videos
Z222,3,cheese shrimp cheese-cheese chip cheesy,Food,Cheese Shrimp
Z183,4,cheesy cheese-cheese,Food,Cheese
Z182,4,cheese shrimp chip,Food,Cheese Shrimp
Z223,3,fish piece lunch seafood dinner tuna finish,Food,
Z184,4,fish piece seafood tuna steam,Food,
Z185,4,lunch dinner fish-fish squid,Food,
Z186,4,finish red dry orange sit straight lucky,Food,
Z38,2,fry meal restaurant juice mango fruit fresh,Food,
Z216,3,fry juice mango fruit salt lemon vegetable,Food,
Z155,4,pineapple mango,Food,Fruits
Z158,4,salt oil bowl pan chop,Food,
Z159,4,fry sausage mushroom bacon peach kfc,Food,
Z157,4,juice lemon,Food,Lemon Juice
Z156,4,fruit vegetable jackfruit avocado bulalo,Food,
Z217,3,meal restaurant fresh noodle mix soft soy-sauce,Food,
Z163,4,fresh famous special episode healthy film travel,Entertainment ,
Z168,4,pancit noodle,Food,Pancit
Z160,4,restaurant menu,Food,Restaurant Menu
Z162,4,hungry pizza pasta veggie hot-hot,Food,
Z167,4,chef garlic-rice pot curry,Food,
Z165,4,creamy soft,Food / Others,
Z166,4,soy-sauce lechon belly,Food,
Z164,4,mix mixed version mexican,Others,
Z169,4,spring lumpia tender,Food,Lumpia
Z161,4,meal table grab quick wrap vanilla tongue,Food,
Z39,2,sauce delicious spicy pork dish meat crispy,Food,
Z218,3,sauce spicy crispy garlic vinegar chili onion,Food,
Z174,4,onion pepper,Food,Onions & Peppers
Z173,4,vinegar sour soup kwek,Food,
Z172,4,salty tasty bite crunchy flavor chewy,Food,
Z171,4,spicy spicy-spicy,Food,Spicy
Z170,4,sauce crispy garlic chili,Food,
Z219,3,delicious pork dish meat smell beef spice,Food,
Z177,4,delicious dish cuisine authentic,Food,
Z175,4,smell beef spice dip plate barbecue potato,Food,
Z176,4,pork meat adobo sisig,Food,
Z311,2,dessert ice-cream snack butter bread chocolate banana,Food,
Z224,3,dessert ice-cream ube cake purple halo-halo,Food,
Z188,4,ice-cream ube purple halo-halo,Food,
Z187,4,dessert cake,Food,
Z225,3,snack butter bread chocolate banana cream bean,Food,
Z190,4,bean jelly caramel strawberry,Food,
Z192,4,butter bread peanut,Food,
Z193,4,banana ketchup tomato,Food,
Z189,4,chocolate cream corn cracker cookie nut,Food,
Z191,4,snack snack-snack,Food,
Z194,4,cold warm dough queue,Food,
Z46,1,peso shop coffee market dollar cheap breakfast,Food,
Z319,2,drink beer white hand ice bag christmas,Food,
Z245,3,ice stick ball fat egg excited pig,Food,
Z1191,4,excited proper pick nervous scary health,Food,
Z1193,4,leg kick knee uncle mission cousin,Food,
