Id,Level,Texts,General Category,Specific Category,Conceptual Relation,Philippine Context
Z41,1,peso restaurant shop drink huge blue dollar,,,2,2
Z34,2,peso dollar cheap peso-peso expensive price wall,,,4,3
Z211,3,peso dollar cheap peso-peso expensive price cheaper,,,5,3
Z156,4,expensive price option,,,4,1
Z155,4,pay peso,,,5,4
Z154,4,dollar cheap peso-peso cheaper rent buck total,,,4,3
Z212,3,wall property roof hole water-water build concrete,,,5,1
Z157,4,hole water-water tank careful baby care mommy,,,1,1
Z158,4,wall property roof build retire concrete bedroom,,,4,1
Z35,2,spanish language english history speak influence spain,,,5,4
Z213,3,spanish history influence spain religion fort church,,,5,5
Z160,4,spanish history fort magellan european king,,,5,5
Z159,4,influence spain religion church christian muslim,,,5,5
Z214,3,language english speak tagalog english-english language-language learn,,,5,5
Z162,4,speak language-language english-english,,,5,4
Z161,4,language english tagalog learn latin,,,5,4
Z31,2,huge foot camera meter mountain private province,,,2,2
Z21,3,huge foot meter mountain private unique tree,,,2,1
Z18,4,foot size leg,,,5,1
Z115,4,plant special design salad healthy summer flower,,,3,1
Z114,4,kilometer square speed,,,5,1
Z110,4,clean clothes short dirty wash imagine tall,,,2,1
Z113,4,bed shower bathroom,,,5,1
Z15,4,mountain tree forest bamboo grass wood snake,,,5,2
Z12,4,private biggest wave jungle,,,2,3
Z112,4,finish stick dry,,,3,1
Z111,4,bag shoe board morning-morning sleep,,,2,1
Z16,4,animal cow pack eagle,,,4,2
Z14,4,unique popular volcano,,,4,4
Z17,4,meter ground deep slow trouble,,,2,1
Z19,4,paradise tropical palm,,,5,4
Z11,4,huge bigger entire ton american,,,3,1
Z13,4,largest world,,,5,1
Z22,3,camera province security market season rainy guard,,,2,2
Z118,4,feed figure step pas paper pressure write,,,2,1
Z121,4,easier tip luke,,,1,1
Z119,4,account bank medium poverty,,,3,2
Z128,4,province simple update,,,3,3
Z124,4,station train gas,,,5,1
Z129,4,pinoy pinoy-planet,,,5,5
Z127,4,season rainy,,,5,4
Z130,4,door neighbor late father neighborhood sister angry,,,3,1
Z125,4,security guard,,,5,2
Z122,4,art museum activity practice san,,,3,2
Z120,4,party comfort aware singapore pandemic mother magic,,,1,3
Z116,4,fit offer shirt fake shoot hat raw,,,2,1
Z123,4,dance dancing festival,,,5,3
Z117,4,film camera,,,5,1
Z126,4,market street-street chinatown,,,5,4
Z32,2,blue white sky color cloud actual brown,,,4,1
Z26,3,school student college university teacher study campus,,,5,1
Z139,4,school university teacher study campus,,,5,1
Z140,4,student college senior,,,5,1
Z24,3,blue sky cloud photo bridge hang trash,,,2,1
Z135,4,sky photo bridge hang trash garbage jay,,,2,1
Z134,4,blue cloud,,,5,1
Z27,3,christmas christmas-christmas merry-christmas september celebration memory,,,5,5
Z141,4,christmas-christmas september celebration memory,,,5,5
Z142,4,merry-christmas christmas,,,5,3
Z23,3,white color actual brown black orange strong,,,3,1
Z133,4,actual warm famous brand layer version bubble,,,1,1
Z132,4,white brown black heat,,,3,1
Z131,4,color strong orange,,,5,1
Z25,3,relationship filipina girlfriend marry boyfriend marriage wedding,,,5,5
Z138,4,marry marriage wedding happy-happy cry,,,4,2
Z136,4,boyfriend girlfriend,,,5,1
Z137,4,relationship filipina,,,5,5
Z33,2,restaurant drink shop store fish cold lunch,,,3,1
Z29,3,drink coffee beer tea bottle drinking alcohol,,,5,3
Z149,4,drink drinking,,,5,1
Z151,4,coffee tea cafe,,,5,1
Z150,4,beer bottle alcohol san-miguel,,,5,5
Z210,3,shop store shopping grocery shopping-mall supermarket,,,5,2
Z153,4,store shop,,,5,1
Z152,4,shopping grocery shopping-mall supermarket,,,5,2
Z28,3,restaurant fish cold lunch quick hungry menu,,,4,1
Z144,4,quick grab massive seat extra wet straight,,,1,1
Z148,4,seafood shrimp,,,5,2
Z147,4,fish-fish fish,,,5,2
Z146,4,lunch dinner kayak,,,2,1
Z145,4,restaurant menu,,,5,1
Z143,4,cold hungry ice,,,3,1
Z43,1,friendly impression meet bgc plan cebu driver,,,3,5
Z39,2,city service western public major issue card,,,2,1
Z223,3,city western public major business transportation capital,,,4,2
Z190,4,western business west opinion,,,3,1
Z192,4,transportation public,,,5,2
Z189,4,major difference expat common average cost control,,,3,2
Z191,4,city capital modern,,,5,2
Z222,3,service issue card deal mind passport visa,,,2,3
Z186,4,card cash phone,,,5,1
Z188,4,service customer,,,5,1
Z184,4,mind negative,,,5,1
Z185,4,visa passport document,,,5,4
Z187,4,holiday vacation december dead loud dog santa,,,1,1
Z183,4,issue deal,,,5,1
Z38,2,friendly impression meet bgc plan cebu driver,,,3,5
Z220,3,bgc mall manila-manila building metro-manila makati makatus,,,5,5
Z176,4,bgc mall building makatus,,,5,5
Z177,4,mall-mall apartment condo venice light screen italy,,,3,3
Z175,4,manila-manila metro-manila makati global,,,5,5
Z221,3,cebu nido quiet boracay south coron map,,,4,5
Z180,4,quiet map peaceful,,,4,1
Z182,4,mindanao davao timber house-house,,,4,5
Z181,4,south east north,,,5,1
Z179,4,cebu whale-shark lechon,,,5,5
Z178,4,nido boracay coron,,,5,5
Z219,3,friendly impression meet plan driver safe stay,,,3,2
Z174,4,driver journey jeepney,,,5,5
Z173,4,meet meeting,,,5,1
Z171,4,friendly impression honest,,,5,1
Z172,4,plan safe stay leave company,,,3,1
