ID,Level,Topics,Video Titles
Z18,4,inch cost-peso animal,STRANGEST Things Found In The Philippines!
Z111,4,tarsier government ferry,"The Legend of The Chocolate Hills  Travel in The Philippines
BEST OF BOHOL PHILIPPINES  Travel Vlog 2020
STRANGEST Things Found In The Philippines!"
Z19,4,native book spanish,"TOP 6 METHODS I USED TO ACQUIRE TAGALOGFILIPINO -  (Tagalog with English Subtitles)
Cebu City -  Fort San Pedro made from corals - Philippines
STRANGEST Things Found In The Philippines!"
Z110,4,female catch statue,"First Time in Manila, Philippines! Eating Jollibee, taking the metro, and visiting tourist places
STRANGEST Things Found In The Philippines!
Honest first experience with ðŸ‡µðŸ‡­ whale shark swimming in Donsol, Philippines"
Z14,4,bell hear regine-velasquez,"VOCAL COACH REACTS - REGINE VELASQUEZ - Araw-Gabi
Filipino Artists You Should Listen To Right Now
Top 5 Exotic Foods in the Philippines The BRAVE MUST TRY!
I'm FINALLY in the Philippines - Manila 1st Impressions ðŸ‡µðŸ‡­
First Time Hearing Morissette Amon Reaction You Are The Reason with Daryl Ong Reaction"
Z12,4,singer vocal celebrity actress,"Filipino Artists You Should Listen To Right Now
Top 12 Most Followed Filipino Celebrities on Social Media 2023
VOCAL COACH REACTS - REGINE VELASQUEZ - Araw-Gabi
Filipino Husband Sings To His Wife AT HER FUNERAL! Emotional Reaction
Vocal Coach REACTS to TNT Boys BANG BANG + 5 songs #Yourfacesoundsfamiliar  Lucia Sinatra
First Time Hearing Morissette Amon Reaction You Are The Reason with Daryl Ong Reaction
Trying The MUST Eat Filipino Lechon (IS IT GOOD)"
Z11,4,performance sing voice,"VOCAL COACH REACTS - REGINE VELASQUEZ - Araw-Gabi
Filipino Artists You Should Listen To Right Now
Filipino Husband Sings To His Wife AT HER FUNERAL! Emotional Reaction
Vocal Coach REACTS to TNT Boys BANG BANG + 5 songs #Yourfacesoundsfamiliar  Lucia Sinatra"
Z13,4,morissette-amon morissette forget,"Filipino Artists You Should Listen To Right Now
First Time Hearing Morissette Amon Reaction You Are The Reason with Daryl Ong Reaction"
Z16,4,ariana tnt-boy talent male record,"Filipino Artists You Should Listen To Right Now
Vocal Coach REACTS to TNT Boys BANG BANG + 5 songs #Yourfacesoundsfamiliar  Lucia Sinatra
STRANGEST Things Found In The Philippines!"
Z15,4,world note singing weird,"Vocal Coach REACTS to TNT Boys BANG BANG + 5 songs #Yourfacesoundsfamiliar  Lucia Sinatra
Filipino Artists You Should Listen To Right Now
I'm FINALLY in the Philippines - Manila 1st Impressions ðŸ‡µðŸ‡­
STRANGEST Things Found In The Philippines!
KUPIÅEM Å»ONÄ˜ NA SLAMSACH - moje szalone WESELE w wiosce PLEMIENIA BADJAO!!"
