Video Title,Link,HLTA Topics
Marine reacts to the Philippine Light Reaction Regiment (LRR),https://www.youtube.com/watch?v=-1B7cVoZr1c,"Level 4
version, sort, original, bloody: (0.53)
fight, attack, commander, secret: (1.00)
heat, fake, york: (0.75)
insane, imagine, actual, key, arm, funny, leg: (0.73)
forest, jungle, bamboo: (0.97)
east, south: (1.00)
situation, issue, mind, matter, business, story: (0.67)
change, screen, angry: (0.91)
skill, phrase, rare, track, wild: (0.90)
enemy, scout, control, ranger, mission, recruit: (1.00)
close, dream, strange: (0.81)
short, luck, wave: (0.59)
perfect, honest, color, natural, tiny, range: (0.71)
recommendation, michael, kong: (0.76)
speed, unit, slow, afraid, pas: (0.69)
tire, girl-girl, bohol: (0.57)
fan, quality, feeling: (0.78)
soldier, military, army, force, training: (1.00)
race, attention, judge, focus, dance: (0.75)
background, glass, tone: (0.73)
spirit, tradition, holy: (0.62)
war, government: (1.00)
specific, topic, choice: (0.94)

Level 3
brand, strawberry, heat, hate, solid, yum, fake: (0.71)
tree, forest, mountain, jungle, grass, feed, bamboo: (0.98)
skill, scout, enemy, speed, ranger, record, control: (1.00)
christmas, christmas-christmas, holiday, december, spirit, merry-christmas, september: (0.92)
fight, soldier, military, attack, army, battle, force: (1.00)
country, population, nation, economy, national, largest, influence: (0.57)
tired, tire, gate, girl-girl, bohol, mommy: (0.63)
war, government, history, spanish, century, magellan: (0.75)

Level 2
country, war, government, history, malaysia, major, population: (0.93)
fight, soldier, military, attack, army, battle, force: (1.00)

Level 1
asian, country, war, government, history, school, malaysia: (0.96)"
SHOWING MY SISTER SB19 'GENTO' Music Video,https://www.youtube.com/watch?v=-9bfDHHneyU,"Level 4
freak, performance: (1.00)
dangerous, strong, finger, tooth, success: (0.58)
pick, start, notice, comfortable, process, difference, boy: (0.97)
option, easier, squid: (0.53)
scene, play, rap, team: (0.59)
record, contact, break, meeting, location: (0.59)
rainy, season: (1.00)
singer, vocal, industry: (0.85)
hair, product, standard: (0.57)
perfect, honest, color, natural, tiny, range: (0.75)
artist, band: (1.00)
song, lyric, opm, song-song: (0.97)
fan, quality, feeling: (0.91)
pop, lake, pack: (0.56)
crowd, concert, mic, mate: (0.50)
company, biggest, singapore, construction, germany: (0.94)
voice, listen, talent: (0.67)
conversation, sense, level: (0.78)
bell, hop, share, community, link, future: (0.89)
cook, cooking: (1.00)

Level 3
song, singing, sing, voice, lyric, opm, song-song: (0.99)
freak, performance, studio, version, sort, review, original: (0.61)
ticket, seat, london, horse, tricycle, mask, enjoy: (0.67)
plan, month, meet, corner, week, pick, notice: (0.81)
scene, play, rap, fan, team, quality, feeling: (0.92)

Level 2
freak, performance, competition, studio, version, sing-song, sort: (0.85)
singer, song, vocal, singing, sing, feature-friday-feature-friday, feature-friday: (0.71)

Level 1
singer, song, vocal, singing, sing, feature-friday-feature-friday, feature-friday: (0.72)"
10 Reasons/Do not Retire TO the Philippines/Moving to the Philippines/Philippine/Dumaguete,https://www.youtube.com/watch?v=-C5iB25BRsA,"Level 4
island, beach, island-island, sea, volcano: (0.85)
filipina, wife: (1.00)
bike, motorbike, scooter: (0.70)
bank, money-money, card: (0.97)
menu, restaurant: (1.00)
floor, roof, window, door, bathroom, bedroom: (0.98)
cheaper, cheap: (1.00)
meet, advice, online: (0.61)
plan, month, corner, week, project: (0.97)
rest, heavy, leave, wet, block: (0.53)
medical, hospital: (1.00)
feed, bar, monkey, crocodile: (0.69)
drink, beer: (1.00)
rainy, season: (1.00)
sunday, loud, science-science: (0.86)
afternoon, catch, coat: (0.60)
moment, nature, goodbye: (0.60)
retire, cost: (1.00)
fresh, fish: (1.00)
friendly, traffic: (1.00)
total, item, massive: (0.90)
dead, noise, ship: (0.94)
road, car, drive, shop: (0.81)
cook, cooking: (1.00)
sell, bang, leachon: (0.62)
store, grocery, cross: (0.99)

Level 3
tree, forest, mountain, jungle, grass, feed, bamboo: (0.62)
peso, price, cheap, dollar, cheaper: (0.80)
drink, coffee, beer, drinking, bread, breakfast, alcohol: (0.80)
walk, road, car, drive, bike, hotel, shop: (0.61)
ticket, seat, london, horse, tricycle, mask, enjoy: (0.73)
plan, month, meet, corner, week, pick, notice: (1.00)
rain, rainy, season, yesterday, garden, jame: (0.87)
god-god, ready-ready, crew, hospital, medical, positive, vibe: (0.97)
tomorrow, weather, light, sun, quick, afternoon, tonight: (0.90)
challenge, daily, sell, bad-bad, vlogger, budget, san-miguel: (0.69)
island, beach, tourist, island-island, palawan, sea, boracay: (0.74)
shopping, store, mall, supermarket, grocery, cross: (0.88)

Level 2
peso, price, plan, month, property, cheap, flight: (0.99)
shopping, store, mall, extra, supermarket, gift, grocery: (0.84)
rain, retire, building, rainy, cost, province, season: (0.99)
island, walk, road, car, beach, traffic, spot: (1.00)

Level 1
rain, retire, building, rainy, cost, season, province: (0.99)
island, peso, walk, road, price, car, beach: (1.00)"
Christmas is NEXT LEVEL in the Philippines | Latinos react to Viral Filipino Singing TikToks,https://www.youtube.com/watch?v=-GVbt3qdq70,"Level 4
feature-friday-feature-friday, podcast: (1.00)
episode, series, lady-gentleman, sir: (0.97)
opinion, negative, difficult, vietnam, advance: (0.55)
bank, money-money, card: (0.83)
school, class, parent, study, education, father: (0.61)
menu, restaurant: (1.00)
latino, feature-friday, friday: (0.99)
skill, phrase, rare, track, wild: (0.97)
close, dream, strange: (0.81)
singer, vocal, industry: (0.99)
perfect, honest, color, natural, tiny, range: (0.70)
song, lyric, opm, song-song: (1.00)
christmas, christmas-christmas, merry-christmas: (0.98)
singing, sing: (1.00)
son, mama, jesus, lord, tent: (0.89)
crowd, concert, mic, mate: (0.61)
god-god, ready-ready, crew: (0.94)
voice, listen, talent: (0.67)
girlfriend, happy-happy, worker: (0.61)
spirit, tradition, holy: (0.62)
viral, coach, karaoke, tiktok: (1.00)
link-description, today, book: (0.92)

Level 3
singer, vocal, viral, coach, karaoke, tiktok, industry: (1.00)
christmas, christmas-christmas, holiday, december, spirit, merry-christmas, september: (1.00)
song, singing, sing, voice, lyric, opm, song-song: (1.00)
episode, series, lady-gentleman, movie, sir, epic, blog: (0.96)
latino, feature-friday-feature-friday, feature-friday, friday, podcast: (1.00)

Level 2
singer, song, vocal, singing, sing, feature-friday-feature-friday, feature-friday: (1.00)

Level 1
singer, song, vocal, singing, sing, feature-friday-feature-friday, feature-friday: (1.00)"
RAPSTAR REACTION! FLOW G is the FILIPINO DRAKE!,https://www.youtube.com/watch?v=-JTkbbE_KP4,"Level 4
freak, performance: (1.00)
game, basketball, sport, player: (0.84)
lie, pain, pie: (0.79)
scene, play, rap, team: (0.89)
mythical, creature: (1.00)
walk, hotel: (1.00)
song, lyric, opm, song-song: (0.97)
geography, american: (1.00)
answer, question: (1.00)

Level 3
song, singing, sing, voice, lyric, opm, song-song: (0.88)
scene, play, rap, fan, team, quality, feeling: (0.55)"
Port Barton in the Philippines: Foreigners first impressions - Where are the tourists?!?!,https://www.youtube.com/watch?v=-JlBNKlG3Yw,"Level 4
tree, mountain, grass, green: (0.85)
island, beach, island-island, sea, volcano: (0.98)
toilet, shower: (1.00)
sit, evening, sleep, bus, tower, station: (0.82)
bike, motorbike, scooter: (0.99)
menu, restaurant: (1.00)
photo, picture, distance, ground: (0.56)
medical, hospital: (1.00)
shot, air, shoot: (0.59)
boat, paradise, port: (0.89)
walk, hotel: (1.00)
light, sunset, drop, destination: (0.93)
typhoon, river: (1.00)
fan, quality, feeling: (0.78)
tomorrow, weather, sun, quick, tonight, cold: (0.87)
fresh, fish: (1.00)
french, shy, hug: (0.70)
middle, town, hole, cloud, incredible: (0.57)
dry, plastic, commercial: (0.93)
spot, tour, view, guide, drone: (0.95)
palawan, boracay: (1.00)
tourist, trip, tourism: (0.99)
service, pay, private, kilometer, apartment, resort, bridge: (0.97)

Level 3
body, shot, dead, eye, photo, cat, picture: (0.79)
restaurant, perfect, menu, type_, famous, honest, popular: (0.81)
walk, road, car, drive, bike, hotel, shop: (0.99)
ticket, seat, london, horse, tricycle, mask, enjoy: (0.67)
shower, toilet, table, wine, paul, salamat, joy: (0.74)
french, boy-boy, shy, sad, medium, oclock, hug: (0.51)
tomorrow, weather, light, sun, quick, afternoon, tonight: (0.82)
spot, tour, view, boat, guide, drone, paradise: (0.99)
island, beach, tourist, island-island, palawan, sea, boracay: (1.00)

Level 2
island, walk, road, car, beach, traffic, spot: (0.99)

Level 1
island, peso, walk, road, price, car, beach: (0.84)"
Philippines VS. Thailand - 7 BIG differences (Girlfriend Experience!),https://www.youtube.com/watch?v=-KHOXPq_M-Q,"Level 4
build, building: (1.00)
opinion, negative, difficult, vietnam, advance: (0.65)
christian, religion, earth: (0.99)
mom, dad, mother, child: (0.69)
cheaper, cheap: (1.00)
rest, heavy, leave, wet, block: (0.53)
drink, beer: (1.00)
short, luck, wave: (0.59)
artist, band: (1.00)
english, english-english, language-language, teacher: (0.96)
retire, cost: (1.00)
friendly, traffic: (1.00)
visa, immigration: (1.00)
tourist, trip, tourism: (0.86)
studio, review, cover, entertainment: (0.53)

Level 3
western, woman, partner, relationship, term, west, girlfriend: (0.89)
mom, dad, mother, child, doctor, poverty, deal: (0.71)
english, language, speak, tagalog, english-english, language-language, teacher: (0.98)
retire, building, cost, province, build, jane, england: (0.81)
peso, price, cheap, dollar, cheaper: (0.82)
drink, coffee, beer, drinking, bread, breakfast, alcohol: (0.55)
option, visa, easier, immigration, squid, seafood, shrimp: (0.63)

Level 2
school, english, student, language, speak, college, class: (0.79)
rain, retire, building, rainy, cost, province, season: (0.69)
island, walk, road, car, beach, traffic, spot: (0.62)

Level 1
rain, retire, building, rainy, cost, season, province: (0.68)"
Why Americans Love Filipino Culture,https://www.youtube.com/watch?v=-NkPxyvAqzA,"Level 4
dangerous, strong, finger, tooth, success: (0.95)
expensive, rent, transportation, peso-peso, rate, public, market: (0.72)
southeast, asian: (1.00)
filipina, wife: (1.00)
feel, wrong, scared, nervous: (0.80)
bike, motorbike, scooter: (0.55)
christian, religion, earth: (0.99)
option, easier, squid: (0.82)
floor, roof, window, door, bathroom, bedroom: (0.51)
mom, dad, mother, child: (0.99)
situation, issue, mind, matter, business, story: (0.70)
diverse, respect, people, neighbor: (0.73)
rice-rice, rice: (1.00)
eat, sweet, cheese, meal, mukbang, spicy-spicy: (0.94)
rest, heavy, leave, wet, block: (0.65)
language, speak, tagalog: (0.86)
record, contact, break, meeting, location: (0.82)
close, dream, strange: (0.81)
sunday, loud, science-science: (0.61)
hair, product, standard: (0.57)
short, luck, wave: (0.59)
perfect, honest, color, natural, tiny, range: (0.65)
walk, hotel: (1.00)
geography, american: (1.00)
moment, nature, goodbye: (0.85)
birthday, happy-birthday, cake: (0.53)
tomorrow, weather, sun, quick, tonight, cold: (0.50)
smell, garlic, dessert, sour, salty, bite, snack: (0.55)
friendly, traffic: (1.00)
middle, town, hole, cloud, incredible: (0.60)
conversation, sense, level: (0.98)
hate, turkey, baguio: (0.60)
bell, hop, share, community, link, future: (0.60)
banana, fat, bean, leaf, ice, bone, adobo: (0.90)
road, car, drive, shop: (0.78)
cook, cooking: (1.00)
spirit, tradition, holy: (0.62)
explore, impression, park, ride, adventure, taxi: (0.71)

Level 3
warm, dangerous, terrible, glad, forget, strong, finger: (0.74)
traffic, explore, safe, impression, park, friendly, ride: (0.80)
mom, dad, mother, child, doctor, poverty, deal: (0.98)
english, language, speak, tagalog, english-english, language-language, teacher: (0.97)
tree, forest, mountain, jungle, grass, feed, bamboo: (0.54)
spaghetti, burger, hot-dog, mcdonald, gravy, jolly, steak: (0.96)
walk, road, car, drive, bike, hotel, shop: (1.00)
common, unique, diverse, center, christian, respect, map: (1.00)
ticket, seat, london, horse, tricycle, mask, enjoy: (0.57)
rice, chicken, meat, pork, dish, vinegar, beef: (0.61)
tomorrow, weather, light, sun, quick, afternoon, tonight: (0.56)

Level 2
school, english, student, language, speak, college, class: (1.00)
option, warm, visa, gorgeous, dangerous, easier, terrible: (0.61)
island, walk, road, car, beach, traffic, spot: (0.89)
egg, food, soy-sauce, spaghetti, burger, roll, hot-dog: (1.00)

Level 1
island, peso, walk, road, price, car, beach: (0.85)"
What's It Like Living In The Philippines? 🇵🇭 | Foreigner's Perspective,https://www.youtube.com/watch?v=-O-ZnlGZq-4,"Level 4
filipina, wife: (1.00)
mango, fruit, vegetable: (0.73)
cheaper, cheap: (1.00)
medical, hospital: (1.00)
change, screen, angry: (0.91)
walk, hotel: (1.00)
cat, gun, bet: (0.50)
safe, security, stay, lot, police: (0.75)
tomorrow, weather, sun, quick, tonight, cold: (0.61)
fresh, fish: (1.00)
friendly, traffic: (1.00)
voice, listen, talent: (0.67)
hate, turkey, baguio: (0.60)
answer, question: (1.00)
service, pay, private, kilometer, apartment, resort, bridge: (0.71)

Level 3
mango, fish, fruit, chocolate, fresh, pizza, hungry: (0.83)
traffic, explore, safe, impression, park, friendly, ride: (0.96)
peso, price, cheap, dollar, cheaper: (0.82)
wife, filipina, daniel, gas, electricity, internet, average: (0.77)
tomorrow, weather, light, sun, quick, afternoon, tonight: (0.89)

Level 2
school, english, student, language, speak, college, class: (0.98)
peso, price, plan, month, property, cheap, flight: (0.95)
island, walk, road, car, beach, traffic, spot: (0.83)
egg, food, soy-sauce, spaghetti, burger, roll, hot-dog: (0.69)
wife, daniel, filipina, gas, electricity, challenge, internet: (0.83)

Level 1
island, peso, walk, road, price, car, beach: (0.69)"
Foreigner cooks Filipino pork adobo for the first time,https://www.youtube.com/watch?v=-P_7E7gq6vs,"Level 4
terrible, glad, forget: (0.67)
episode, series, lady-gentleman, sir: (0.65)
power, solar: (1.00)
pot, chef, pan: (0.78)
feel, wrong, scared, nervous: (0.65)
east, south: (1.00)
photo, picture, distance, ground: (0.56)
mom, dad, mother, child: (0.94)
rice-rice, rice: (1.00)
eat, sweet, cheese, meal, mukbang, spicy-spicy: (0.82)
rest, heavy, leave, wet, block: (0.99)
ice-cream, spoon, dip, mix, noodle, ube, lumpia: (0.67)
chili, onion, tasty, crunchy, pepper, ingredient, texture: (0.83)
chicken, pork, dish, vinegar: (1.00)
smell, garlic, dessert, sour, salty, bite, snack: (0.94)
fresh, fish: (1.00)
fry, chicken-chicken, tomato, potato, plate, soft, barbecue: (0.71)
table, wine, paul, salamat: (0.80)
banana, fat, bean, leaf, ice, bone, adobo: (0.92)
cook, cooking: (1.00)
war, government: (1.00)
clean, careful, step, dog, cut: (0.59)
taste, sauce, crispy: (1.00)

Level 3
warm, dangerous, terrible, glad, forget, strong, finger: (0.68)
mom, dad, mother, child, doctor, poverty, deal: (0.90)
rice, chicken, meat, pork, dish, vinegar, beef: (1.00)
shower, toilet, table, wine, paul, salamat, joy: (0.83)
taste, sauce, flavor, delicious, spicy, eat, smell: (0.59)

Level 2
taste, sauce, flavor, rice, chicken, delicious, meat: (1.00)
island, walk, road, car, beach, traffic, spot: (0.61)

Level 1
taste, sauce, flavor, rice, chicken, delicious, meat: (1.00)"
