ID,Level,Topics,Video Titles
Z134,2,morissette morissette-amon description sense ferris-wheel siargao rib,"The Singing Women of the Philippines| Latinos react to NEW Filipino singing Tiktoks that went VIRAL
🇵🇭Trying Filipino Street Food in Bohol , Philippines
Korean girl want to live in Philippine after trying the Famous MANG INASAL! 🇵🇭🇰🇷❤️
FILIPINO POLICE Take FOREIGNERS Travelling In Zamboanga, Mindanao!
Trying Pancit Canton In The Philippines For The First Time🇵🇭 #shorts
SINULOG 2019 Philippines, Foreigners First Time!
Foreigners Guess FILIPINA CELEBRITIES, FULL OR HALF FILIPINO? FUNNY REACTION
Living in the PHILIPPINES as a FOREIGNER / My best and worst experiences.
This Filipino Kid is a SINGING MENACE! Latinos react to NEW Filipino Singing TIKTOKS | Vol 18
DELICIOUS PORK MEAL FOR DINNER ?? FOREIGNER HUSBAND CANT BREATHE WHILE EATING???
Foreigners Flying to Manila Philippines 🇵🇭 (our FIRST time)"
Z131,2,doctor medical helpful private manila-metro start global,"Real Life Fathers of 18 Top Filipino Actors ll You didn't know in 2023
EXTRAORDINARY FILIPINO LIFE of The ""Lostboys"" // Foreigners in Remote Palawan
DELICIOUS PORK MEAL FOR DINNER ?? FOREIGNER HUSBAND CANT BREATHE WHILE EATING???
Alone and retired in the Philippines at 87 years old"
Z143,2,review yummy mushroom bang jame concert coron,"SINULOG 2019 Philippines, Foreigners First Time!
Americans React to Philippines, India, Singapore, English Vocabulary Differences!
Kind Filipina help me to find Champorado🇵🇭
First FILIPINO BREAKFAST | Shopping Philippines 👨‍👩‍👧‍👦 RodVivKids Family Vlog
Trying Filipino food for the first time…*Lechon Manok* #filipinofood #lechonmanok #philippines #asia
Foreigner & Filipina House Build Philippines 29Sep22. @LeRocphilippines5539
THIS SURPRISED US in ORMOC CITY, PHILIPPINES! | Foreigner Driving in the Philippines Experience!
MY FIRST TIME in Manila Philippines  🇵🇭"
Z139,2,vocal voice singer sing stage tnt-boy ariana,"FILIPINO POLICE Take FOREIGNERS Travelling In Zamboanga, Mindanao!
I can't believe MY FOREIGNER HUSBAND did this in THE PHILIPPINES 🇵🇭 | PROVINCE TRAVEL FOOD VLOG
FILIPINA WIFE IGNORING FOREIGNER HUSBAND?? EXPAT LIVING  IN THE PHILIPPINES
Christmas is NEXT LEVEL in the Philippines | Latinos react to Viral Filipino Singing TikToks
The Singing Women of the Philippines| Latinos react to NEW Filipino singing Tiktoks that went VIRAL"
Z144,2,husband wife husband-wife mother mister lucky visa,"FOREIGNER reacts to WHAT brought you to the PHILIPPINES?
Foreigner cooks Filipino pork adobo for the first time
Why Foreigners Treat Filipinos Like Zoo Animals! DISGUSTING! 🇵🇭
FILIPINA WIFE IGNORING FOREIGNER HUSBAND?? EXPAT LIVING  IN THE PHILIPPINES
A FOREIGNER CELEBRATING EASTER IN A REMOTE JUNGLE IN THE PHILIPPINES"
Z138,2,buddy closet brooklyn play wing ski pan,"Real Life Fathers of 18 Top Filipino Actors ll You didn't know in 2023
Marine reacts to the Philippine Light Reaction Regiment (LRR)
Foreigner and Filipina House Build Philippines 11Nov22. @LeRocphilippines5539
Why Foreigners Treat Filipinos Like Zoo Animals! DISGUSTING! 🇵🇭"
Z136,2,sick kid height goodness paradise corn late,"Marine reacts to the Philippine Light Reaction Regiment (LRR)
Alone and retired in the Philippines at 87 years old
FOREIGNERS react to PHILIPPINES Proudly WELCOMES You!
SO INSPIRATIONAL! FILIPINOS who made PINOYS PROUD #2 | HONEST REACTION
Real Life Fathers of 18 Top Filipino Actors ll You didn't know in 2023"
Z145,2,ramen blogger meal sisig fatty sea culture,"Foreigners Flying to Manila Philippines 🇵🇭 (our FIRST time)
LATINAS FIRST TIME REACTION TO PHILIPPINES NATIONAL ANTHEM IN SPANISH, ENGLISH & TAGALOG - Minyeo TV
Trying Pancit Canton In The Philippines For The First Time🇵🇭 #shorts
Americans React to Philippines Eagle vs. Bald Eagle
Japanese react to Top 10 Most Beautiful Bollywood Actresses In 2020
METALHEADS REACTION TO - PINOY RAP - 187 MOBSTAZ - WE DON’T DIE WE MULTIPLY
Philippines Balut 🇵🇭 Foreigner tries Balut #filipino #philippines
FOREIGNERS' First Opinions About PHILIPPINES - I wasn't expecting THIS...
Good Voice = Free Lechon | Waleska & Efra react to Philippine Madrigal Singers Singing in Restaurant
DELICIOUS PORK MEAL FOR DINNER ?? FOREIGNER HUSBAND CANT BREATHE WHILE EATING???
Why Foreigners Treat Filipinos Like Zoo Animals! DISGUSTING! 🇵🇭
🇵🇭Trying Filipino Street Food in Bohol , Philippines
AMERICANS REACT CHRISTMAS IN PHILIPPINES VS. USA 🇺🇸🎄🇵🇭 | EL's Planet
THIS fact of PHILIPPINES history SHOCKED us! Foreigners Reaction.
SINULOG 2019 Philippines, Foreigners First Time!
Travel Discounts for Senior expat/foreigners over 60 in the Philippines."
Z133,2,fit spot parking direction recommend safe brand,"Real Life Fathers of 18 Top Filipino Actors ll You didn't know in 2023
AMERICANS REACT CHRISTMAS IN PHILIPPINES VS. USA 🇺🇸🎄🇵🇭 | EL's Planet
V285 - Pt 17 FOREIGNER BUILDING A CHEAP HOUSE IN THE PHILIPPINES - Retiring in South East Asia vlog
Good Voice = Free Lechon | Waleska & Efra react to Philippine Madrigal Singers Singing in Restaurant
Foreigners Flying to Manila Philippines 🇵🇭 (our FIRST time)
Marine reacts to the Philippine Light Reaction Regiment (LRR)
FOREIGN KIDS are trying FILIPINO SNACKS for the FIRST TIME - Foreigners Reaction
FILIPINA SPEAKS WHY CHOOSE FOREIGNER THAN FILIPINO ?? EXPAT LIVING IN PHILIPPINES
The Singing Women of the Philippines| Latinos react to NEW Filipino singing Tiktoks that went VIRAL"
Z140,2,boneless dip davao-city korean teacher hospital crab,"THIS SURPRISED US in ORMOC CITY, PHILIPPINES! | Foreigner Driving in the Philippines Experience!
🇵🇭Trying Filipino Street Food in Bohol , Philippines
Japanese React to ""What It's Like To Have a FILIPINA Grandma | Markian"""
