Topic,Topic Name,Label,Video Count
0,Topic 0: Delicious Dishes and Dining,Topic 0: Delicious Dishes and Dining,2594
1,Topic 1: Learning and Speaking Foreign Language,Topic 1: Learning and Speaking Foreign Language,258
2,Topic 2: Christmas Season & Celebration,Topic 2: Christmas Season & Celebration,205
3,Topic 3: Experiences of Children in Community & Culture,Topic 3: Experiences of Children in Community & Culture,149
4,"Topic 4: Military Assets, Combat, Strategies","Topic 4: Military Assets, Combat, Strategies",47
5,Topic 5: Barber Services,Topic 5: Barber Services,93
6,Topic 6: Wildlife Species & Conservation,Topic 6: Wildlife Species & Conservation,49
7,Topic 7: Makeup Products and Application,Topic 7: Makeup Products and Application,95
8,Topic 8: Philippines’ Dating & Relationship of Females,Topic 8: Philippines’ Dating & Relationship of Females,98
9,Topic 9: Travel to Taiwan & Destinations,Topic 9: Travel to Taiwan & Destinations,68
10,Topic 10: Swimming with Whale Sharks,Topic 10: Swimming with Whale Sharks,110
11,Topic 11:  Black Experiences and Acceptance,Topic 11:  Black Experiences and Acceptance,59
12,Topic 12: Drinking Culture & Practices,Topic 12: Drinking Culture & Practices,42
13,Topic 13: Balut and other Eggs,Topic 13: Balut and other Eggs,94
14,Topic 14: Spanish Colonialism in the Philippines,Topic 14: Spanish Colonialism in the Philippines,55
15,Topic 15: Walking by the Beach Experience,Topic 15: Walking by the Beach Experience,209
16,Topic 16: Philippine Monkey Eating Eagle,Topic 16: Philippine Monkey Eating Eagle,25
17,Topic 17: Filipino Partner & Tourist Visas,Topic 17: Filipino Partner & Tourist Visas,47
18,Topic 18: Sagada Burial Caves & Hanging Coffins,Topic 18: Sagada Burial Caves & Hanging Coffins,50
19,Topic 19: Philippine Halo-Halo Dessert,Topic 19: Philippine Halo-Halo Dessert,228
20,Topic 20: Travel Immigration & Visa Processes,Topic 20: Travel Immigration & Visa Processes,68
21,Topic 21: Banaue Rice Terraces,Topic 21: Banaue Rice Terraces,63
22,Topic 22: Discussing Prejudice Against Women,Topic 22: Discussing Prejudice Against Women,25
23,Topic 23: Seasons and Weather,Topic 23: Seasons and Weather,72
24,Topic 24: Manny Pacquaio (National Icon),Topic 24: Manny Pacquaio (National Icon),55
25,Topic 25: Military and its Subunits,Topic 25: Military and its Subunits,20
26,Topic 26: Local Coffee and Coffee Shops,Topic 26: Local Coffee and Coffee Shops,87
27,Topic 27: Listening & Watching Loved Ones Depart,Topic 27: Listening & Watching Loved Ones Depart,54
28,Topic 28: Mixed Martial Arts and Fighting,Topic 28: Mixed Martial Arts and Fighting,35
29,Topic 29: Medical Diagnostics & Hospital Services,Topic 29: Medical Diagnostics & Hospital Services,51
30,Topic 30: Wealthy & Rich Tourists Travelling,Topic 30: Wealthy & Rich Tourists Travelling,49
31,Topic 31: Severe Weather & Life in Storm-Prone Regions,Topic 31: Severe Weather & Life in Storm-Prone Regions,40
32,Topic 32: Dogs,Topic 32: Dogs,53
33,Topic 33: San Miguel Corporation,Topic 33: San Miguel Corporation,33
34,Topic 34: Squid,Topic 34: Squid,130
35,Topic 35: Famous and Expensive Wedding Gowns,Topic 35: Famous and Expensive Wedding Gowns,23
36,Topic 36: Officer Meijii Yoshimi and the Onoda Incident,Topic 36: Officer Meijii Yoshimi and the Onoda Incident,34
37,Topic 37: Masculine and Feminine Energy in Writing,Topic 37: Masculine and Feminine Energy in Writing,44
38,Topic 38: Basilicas and Cathedrals in the Philippines,Topic 38: Basilicas and Cathedrals in the Philippines,42
39,Topic 39: Racial Discrimination,Topic 39: Racial Discrimination,35
40,Topic 40: Largest Solar Power Projects in Manila / Southeast Asia,Topic 40: Largest Solar Power Projects in Manila / Southeast Asia,49
41,Topic 41: Personal Experiences of War and Persecution,Topic 41: Personal Experiences of War and Persecution,24
42,Topic 42: Philippine Love Teams featuring Daniel Padilla,Topic 42: Philippine Love Teams featuring Daniel Padilla,23
43,Topic 43: Trip to a Beach Destination,Topic 43: Trip to a Beach Destination,69
44,Topic 44: Dating & Relationships Setup,Topic 44: Dating & Relationships Setup,39
45,Topic 45: Virtual Private Networks (VPNs) and Online Security,Topic 45: Virtual Private Networks (VPNs) and Online Security,44
46,Topic 46: National Flag,Topic 46: National Flag,30
47,Topic 47: Singing and Dancing Stars,Topic 47: Singing and Dancing Stars,99
48,Topic 48: Friendships,Topic 48: Friendships,47
49,"Topic 49: Bibingka, Bisaya Language, and Personal Anecdotes","Topic 49: Bibingka, Bisaya Language, and Personal Anecdotes",48
50,Topic 50: LGBTQIA Community,Topic 50: LGBTQIA Community,36
51,Topic 51: Historical States of the Southeast Asian Archipelago,Topic 51: Historical States of the Southeast Asian Archipelago,27
52,Topic 52: Poverty Porn Content in YouTube,Topic 52: Poverty Porn Content in YouTube,40
53,Topic 53: War & Conflict in Cuba & Spain,Topic 53: War & Conflict in Cuba & Spain,23
54,Topic 54: Manila Cathedral,Topic 54: Manila Cathedral,67
55,Topic 55: Food & Destination in Baguio,Topic 55: Food & Destination in Baguio,26
56,Topic 56: Suspension of Classes in Schools,Topic 56: Suspension of Classes in Schools,34
57,Topic 57: Filipino Marriage,Topic 57: Filipino Marriage,32
58,Topic 58: Drinks & Relaxation by the Pool,Topic 58: Drinks & Relaxation by the Pool,51
59,Topic 59: Rainy Season,Topic 59: Rainy Season,83
60,Topic 60: Louis Huang (Internation Actor),Topic 60: Louis Huang (Internation Actor),40
61,Topic 61: Visa & Bureau of Immigration,Topic 61: Visa & Bureau of Immigration,33
62,Topic 62: Filipino Food,Topic 62: Filipino Food,45
63,Topic 63: Filipino Food,Topic 63: Filipino Food,56
64,"Topic 64: Bonifacio Global City, Taguig, Metro Manila","Topic 64: Bonifacio Global City, Taguig, Metro Manila",94
65,Topic 65: Satisfying Hunger with Delicious Food,Topic 65: Satisfying Hunger with Delicious Food,96
66,Topic 66: Pinay Moms Content and Viewer Engagement,Topic 66: Pinay Moms Content and Viewer Engagement,91
67,Topic 67: Language Education and Learning Experiences,Topic 67: Language Education and Learning Experiences,30
68,Topic 68: Children's Lives and Relationships,Topic 68: Children's Lives and Relationships,48
69,Topic 69: Athletes Playing Racket Sports,Topic 69: Athletes Playing Racket Sports,30
70,Topic 70: Physical Characteristics of the Tamaraw Dwarf Buffalo,Topic 70: Physical Characteristics of the Tamaraw Dwarf Buffalo,29
71,Topic 71: Dog Losing / Being Lost,Topic 71: Dog Losing / Being Lost,36
72,Topic 72: Watching Kwentong Jollibee Commercial,Topic 72: Watching Kwentong Jollibee Commercial,90
73,Topic 73: Chinatown Manila,Topic 73: Chinatown Manila,59
74,Topic 74: Philippine Beauty Pageant & Miss Universe,Topic 74: Philippine Beauty Pageant & Miss Universe,51
75,Topic 75: Internet Connectivity in Tourist Destinations,Topic 75: Internet Connectivity in Tourist Destinations,48
76,Topic 76: Watching Violent Events,Topic 76: Watching Violent Events,25
77,Topic 77: Rizal Park Monument & Manila Cemetery,Topic 77: Rizal Park Monument & Manila Cemetery,32
78,Topic 78: Funny Conversations and Socializing ft. Bob Marley,Topic 78: Funny Conversations and Socializing ft. Bob Marley,47
79,Topic 79: Kids Asking Aunt to Charge Phone,Topic 79: Kids Asking Aunt to Charge Phone,25
80,Topic 80: Filipino Marriage Tradition,Topic 80: Filipino Marriage Tradition,36
81,Topic 81: Coconut Varieties and Production,Topic 81: Coconut Varieties and Production,61
82,Topic 82: Skin Color & Beauty,Topic 82: Skin Color & Beauty,33
83,Topic 83: Building Materials and Tools for Construction,Topic 83: Building Materials and Tools for Construction,47
84,Topic 84: Unclear Repeated Terms (Noise),Topic 84: Unclear Repeated Terms (Noise),29
85,Topic 85: University and Campuses,Topic 85: University and Campuses,37
86,Topic 86: Characteristics of Filipinas from Davao,Topic 86: Characteristics of Filipinas from Davao,50
87,Topic 87: American Invasion of Hawaii Region and Historical Conflicts,Topic 87: American Invasion of Hawaii Region and Historical Conflicts,19
88,Topic 88: Squarespace and Online Content Creation,Topic 88: Squarespace and Online Content Creation,35
89,Topic 89: Mango Fruit,Topic 89: Mango Fruit,63
90,Topic 90: Experiences of a First Time Traveler,Topic 90: Experiences of a First Time Traveler,60
91,Topic 91: Metro Manila as the National Capital Region,Topic 91: Metro Manila as the National Capital Region,53
92,Topic 92: Going to Shopping Malls and Street Markets in Manila,Topic 92: Going to Shopping Malls and Street Markets in Manila,56
93,Topic 93: Island and Beach Travel Experiences,Topic 93: Island and Beach Travel Experiences,68
94,Topic 94: Friendly and Romantic Relationships,Topic 94: Friendly and Romantic Relationships,33
95,Topic 95: Filipino Moms doing a Vlog,Topic 95: Filipino Moms doing a Vlog,58
96,Topic 96: Cats & Rats,Topic 96: Cats & Rats,26
97,Topic 97: HipHop and Dancing,Topic 97: HipHop and Dancing,37
98,"Topic 98: Activities and Discussions in Morong, Bataan","Topic 98: Activities and Discussions in Morong, Bataan",58
99,Topic 99: Cow & Farm Life,Topic 99: Cow & Farm Life,48
100,Topic 100: Unclear Repeated Terms,Topic 100: Unclear Repeated Terms,37
