Video Title,Link,HLTA Topics,Video ID,Channel Title,Channel Link
$200 Luxury Beach Hotel in The Philippines ・・・ｵ・・・ｭ,https://www.youtube.com/watch?v=--8n6A8Q6M0,"Level 3
woman, single, difference, opinion: (Z1190) (0.78)
ocean, sea, diving: (Z180) (0.99)
hole, rock, pack, belly: (Z174) (0.98)
shoe, clothes, pair, monkey, crocodile: (Z1106) (0.94)
plant, garden, flower: (Z1183) (0.61)
incredible, unbelievable: (Z1178) (1.00)
bike, motorbike: (Z126) (1.00)
fish-fish, fish: (Z193) (1.00)
yum, peanut, cheesy, bun, classic, fan, juicy: (Z134) (0.72)
dry, wet, season: (Z137) (0.98)
cheese, cheese-cheese: (Z133) (1.00)
camera, film: (Z1108) (1.00)
brother, jay, pipe: (Z1166) (0.69)
palm, tree, sand, bamboo: (Z129) (1.00)
typhoon, wind, port, activity, ship, mindanao, cave: (Z173) (0.65)
oil, soy-sauce, chop: (Z1147) (0.58)
pool, shower, toilet, private, bar: (Z178) (1.00)
butter, heat, dough, pan, package, bet, summer: (Z148) (0.66)
local, community: (Z110) (1.00)
hotel, ferry, seat, wifus, bohol, terminal: (Z162) (0.98)
tourist, island: (Z1141) (1.00)
passport, office, document, shopping-mall: (Z1140) (0.63)
book, brain, read, singapore, access, comfort: (Z1180) (0.97)
meal, restaurant, menu: (Z157) (0.98)
meter, square, giant: (Z1182) (0.86)
walk, car, busy: (Z123) (0.99)
mixed, mexican, lie, dead: (Z145) (0.69)
poverty, lifestyle, usa: (Z1113) (0.59)
nido, boracay, paradise, kayak: (Z1144) (1.00)
manila-manila, metro-manila, makati: (Z1124) (0.61)
shopping, mall: (Z199) (1.00)
karaoke, machine: (Z15) (1.00)
taxi, flight, ride: (Z1137) (1.00)
hot-hot, club, farm, guest, red-horse, treat, sardine: (Z1117) (0.76)
bed, bathroom, sleep: (Z177) (1.00)
impression, friendly: (Z1110) (1.00)
dollar, price, buck, buddy: (Z1101) (0.99)
swimming, swim: (Z181) (1.00)
game, play: (Z1163) (1.00)
chicken-chicken, hungry, table, finish: (Z159) (0.86)
sell, owner, plastic, cafe, motorcycle, neighbor, bakery: (Z117) (0.63)
tip, daily, luke, blog: (Z1114) (0.98)
ingredient, recipe, cooking: (Z1148) (0.95)
color, green, brown, white: (Z147) (1.00)
competition, kick, winner: (Z1161) (0.66)
bus, direction, map, jeepney, station, resort: (Z116) (1.00)
chocolate-hill, hill: (Z1121) (1.00)
pineapple, orange, apple, cut: (Z170) (0.99)
extra, light, clean, drop, dog, charge, screen: (Z113) (0.98)
actual, key, holy: (Z1179) (0.99)
beer, drinking, san-miguel: (Z183) (0.85)
public, transportation: (Z118) (1.00)
boat, tour: (Z165) (1.00)
pay, rent, budget, load, close: (Z1104) (0.85)
egg, breakfast: (Z1135) (1.00)
tank, daddy, mommy, water-water, truck, timber: (Z1119) (0.95)
hand, short, wave, finger, shirt: (Z1105) (0.98)
adventure, explore: (Z161) (1.00)
coffee, coffee-coffee: (Z1100) (1.00)
plane, airport: (Z1138) (1.00)
pizza, curry, bubble: (Z151) (0.90)
blue, sky, cloud: (Z131) (1.00)
cebu, cebu-cebu: (Z163) (1.00)
animal, forest, snake, grass, specie, cow, eagle: (Z132) (0.71)
spot, view, sunset, guide: (Z166) (0.93)
slow, glass, horse, bay: (Z1118) (1.00)
dangerous, safe, scary: (Z1107) (0.98)
ice, grab, bowl, excited, halo-halo, flan: (Z140) (0.86)
alcohol, bottle, drunk: (Z185) (0.99)
earth, lake, human, volcano: (Z1177) (0.66)
huge, entire, ton, touch, international: (Z122) (0.68)
delicious, dish, smell, fry: (Z1127) (0.89)
hop, shark, whale-shark, tropical, gorgeous, secret, peace: (Z182) (1.00)
roof, bedroom, door, ground, pressure: (Z179) (0.85)
tricycle, driver, option, alina: (Z112) (0.98)
massive, proper, straight, lovely, tiny, previous, vegan: (Z125) (0.96)
foot, mark, baby, deep, daniel: (Z176) (0.99)
leaf, portion, liver, plain, feed, tongue, complete: (Z143) (0.82)
combination, item, steam, dinner, total, salamat, rainy: (Z138) (0.77)
wild, sick, van, track, careful, vehicle, paper: (Z175) (0.70)
trip, road: (Z124) (1.00)
vegetable, fruit: (Z167) (1.00)
heavy, weight, typical, pound: (Z1184) (0.86)
beach, beach-beach: (Z1142) (1.00)
diverse, product, field, earlier, native, late, exciting: (Z1196) (0.66)
power, attack, arm, solar: (Z1175) (0.71)
picture, photo, funny: (Z1109) (0.83)
mountain, nature, destination, waterfall: (Z128) (0.82)
construction, tall, wood, chair, pas, tower, fake: (Z119) (0.73)
listen, mate, sing-song, range, bloody, ridiculous, gentleman: (Z14) (0.97)
sausage, sandwich, ketchup, bacon, steak, italian, french: (Z150) (0.87)
quick, journey, honest, leave, meet, space, level: (Z121) (0.98)
main, unique: (Z111) (1.00)
mind, deal, negative: (Z120) (0.94)
peso-peso, peso: (Z1102) (1.00)
cheap, expensive, cheaper, kilometer: (Z1103) (0.99)
milk, coconut: (Z168) (1.00)
juice, drink: (Z184) (1.00)
shoot, shot, ball: (Z1165) (0.80)
crispy, tasty, sugar, piece, soft, spice, sweet-sweet: (Z1126) (0.67)

Level 2
taxi, airport, flight, ride, plane: (Z232) (1.00)
adventure, cebu, explore, hotel, card, ferry, travel: (Z211) (0.99)
beauty, incredible, star, movie, actual, power, jesus: (Z245) (0.88)
tour, spot, view, boat, sunset, guide: (Z212) (1.00)
delicious, dish, crispy, smell, fry, tasty, sugar: (Z228) (0.97)
ice, spoon, cold, red, butter, mukbang, sausage: (Z28) (0.62)
hole, rock, typhoon, foot, wind, port, pack: (Z215) (0.98)
fruit, milk, vegetable, coconut, bread, bean, dip: (Z213) (0.99)
swim, ocean, swimming, sea, hop, diving, shark: (Z217) (1.00)
meal, restaurant, menu, spaghetti, jollibee, burger, gravy: (Z210) (0.99)
fish, shrimp, seafood, tomato, rice-rice, fish-fish, pot: (Z221) (0.97)
island, beach, tourist, beach-beach: (Z234) (1.00)
local, main, tricycle, bus, driver, service, bigger: (Z23) (0.99)
shop, coffee, store, mall, market, fresh, shopping: (Z223) (0.95)
bed, pool, bathroom, shower, sleep, roof, bedroom: (Z216) (1.00)
mountain, bike, river, motorbike, scooter, blue, sky: (Z26) (1.00)
drink, beer, drinking, alcohol, bottle, juice, drunk: (Z218) (1.00)
road, walk, car, trip, busy, massive, proper: (Z25) (1.00)
dance, competition, kick, winner, training, dancing, knee: (Z242) (0.69)
egg, noodle, breakfast, duck, pancit, balut: (Z231) (0.95)
huge, quick, journey, honest, leave, meet, space: (Z24) (0.98)
ingredient, recipe, cooking, pinoy-planet, baboy: (Z237) (0.88)
palawan, nido, boracay, paradise, lagoon, coron, kayak: (Z235) (1.00)
game, play, basketball, player, sport, shoot, shot: (Z243) (0.94)
peso, dollar, cheap, expensive, price, peso-peso, pay: (Z224) (1.00)
mango, banana, pineapple, orange, apple, peach, banana-banana: (Z214) (0.75)
hand, camera, picture, dangerous, shoe, safe, clothes: (Z225) (1.00)
cheese, snack, chocolate, cheese-cheese, chip, corn, yum: (Z27) (0.67)

Level 1
popular, beauty, incredible, star, movie, actual, power: (Z316) (0.85)
peso, shop, coffee, dollar, store, cheap, expensive: (Z38) (1.00)
tour, spot, adventure, cebu, view, explore, boat: (Z34) (1.00)
cheese, dessert, ice-cream, snack, meal, restaurant, menu: (Z33) (0.98)
road, walk, local, car, trip, main, busy: (Z32) (1.00)
swim, bed, pool, ocean, swimming, drink, bathroom: (Z36) (1.00)
taxi, airport, flight, ride, plane, passport, visa: (Z311) (1.00)
mango, fruit, milk, banana, vegetable, coconut, bread: (Z35) (0.99)
island, beach, palawan, nido, boracay, tourist, beach-beach: (Z312) (1.00)
impression, bgc, manila-manila, friendly, hand, building, camera: (Z39) (0.97)
game, play, basketball, dance, competition, player, kick: (Z315) (0.97)",--8n6A8Q6M0,Travel with Luke Damant,https://www.youtube.com/channel/UCWm__g4cPmX-umorqM8VfWw
Marine reacts to the Philippine Light Reaction Regiment (LRR),https://www.youtube.com/watch?v=-1B7cVoZr1c,"Level 3
business, issue: (Z1197) (1.00)
hole, rock, pack, belly: (Z174) (0.76)
job, opportunity, position, professional, jersey, pacquiao, manny: (Z1198) (0.88)
east, south: (Z1195) (1.00)
holiday, birthday, gift, special, december, santa: (Z186) (0.58)
war, nation, military, soldier, president, army, fight: (Z1204) (1.00)
skill, talent: (Z1173) (1.00)
local, community: (Z110) (1.00)
size, bigger: (Z115) (1.00)
original, correct, commercial, festival, standard, tone, judge: (Z1187) (0.77)
bus, direction, map, jeepney, station, resort: (Z116) (0.66)
actual, key, holy: (Z1179) (0.73)
hand, short, wave, finger, shirt: (Z1105) (0.79)
battle, history: (Z1203) (1.00)
filipina, relationship: (Z1158) (1.00)
training, train, knee, enemy, leg, mission, final: (Z1160) (0.97)
wild, sick, van, track, careful, vehicle, paper: (Z175) (0.67)
diverse, product, field, earlier, native, late, exciting: (Z1196) (0.84)
power, attack, arm, solar: (Z1175) (0.96)
technique, control, note: (Z17) (0.80)
river, bridge, jungle, cross: (Z130) (0.51)

Level 2
history, spanish, war, population, government, american, influence: (Z248) (0.81)
asian, woman, south, true, story, western, business: (Z247) (0.91)
christmas, holiday, christmas-christmas, birthday, gift, party, celebration: (Z219) (0.82)

Level 1
history, spanish, asian, woman, south, true, war: (Z317) (0.97)",-1B7cVoZr1c,Combat Arms Channel,https://www.youtube.com/channel/UCUB6A2YY9soreMGNwDLh-zw
Ultimate Filipino Food Festival In The Netherlands!,https://www.youtube.com/watch?v=-7vF5F-1btE,"Level 3
pork, meat, beef: (Z1131) (0.94)
meal, restaurant, menu: (Z157) (1.00)
cream, creamy, caramel: (Z152) (1.00)
baboy, pinoy-planet: (Z1149) (1.00)
tip, daily, luke, blog: (Z1114) (0.78)
pineapple, orange, apple, cut: (Z170) (0.74)
tomato, rice-rice, pot, chef, pasta, kitchen, mushroom: (Z195) (0.98)
mango, peach: (Z171) (1.00)
delicious, dish, smell, fry: (Z1127) (0.92)
combination, item, steam, dinner, total, salamat, rainy: (Z138) (0.91)
sauce, vinegar, bite: (Z1128) (0.98)
vegetable, fruit: (Z167) (1.00)
pepper, chili, salty, salt: (Z1146) (0.92)
crispy, tasty, sugar, piece, soft, spice, sweet-sweet: (Z1126) (0.99)

Level 2
delicious, dish, crispy, smell, fry, tasty, sugar: (Z228) (1.00)
meal, restaurant, menu, spaghetti, jollibee, burger, gravy: (Z210) (0.98)
pork, meat, beef, sour, soup, crunchy, flavor: (Z230) (0.99)
fish, shrimp, seafood, tomato, rice-rice, fish-fish, pot: (Z221) (0.65)
garlic, onion, pepper, chili, cook, salty, salt: (Z236) (0.72)
sauce, spicy, vinegar, bite, spicy-spicy: (Z229) (0.85)
mango, banana, pineapple, orange, apple, peach, banana-banana: (Z214) (0.91)
dessert, ice-cream, ube, cream, creamy, caramel: (Z29) (1.00)

Level 1
sauce, delicious, spicy, dish, pork, meat, crispy: (Z310) (1.00)
cheese, dessert, ice-cream, snack, meal, restaurant, menu: (Z33) (1.00)
garlic, onion, pepper, chili, ingredient, cook, salty: (Z313) (0.67)
mango, fruit, milk, banana, vegetable, coconut, bread: (Z35) (0.88)",-7vF5F-1btE,Pinoy Planet,https://www.youtube.com/channel/UC_hN8xs99S6jnMdYCuJgoJA
SHOWING MY SISTER SB19 'GENTO' Music Video,https://www.youtube.com/watch?v=-9bfDHHneyU,"Level 3
business, issue: (Z1197) (1.00)
performance, band, concert, stage, studio: (Z11) (1.00)
vocal, opm, lyric, tiktok: (Z13) (0.91)
dance, dancing: (Z1162) (1.00)
movie, scene, actor, attention, actress, match, disney: (Z1172) (0.69)
artist, industry: (Z12) (1.00)
size, bigger: (Z115) (1.00)
game, play: (Z1163) (1.00)
eye, pop, poor, fair, decent, nose, perspective: (Z1170) (0.82)
color, green, brown, white: (Z147) (0.60)
public, transportation: (Z118) (1.00)
boat, tour: (Z165) (1.00)
song, sing: (Z196) (1.00)
dangerous, safe, scary: (Z1107) (0.98)
true, story, sense, heart, instagram: (Z1191) (0.77)
wild, sick, van, track, careful, vehicle, paper: (Z175) (0.98)
construction, tall, wood, chair, pas, tower, fake: (Z119) (0.53)

Level 2
vocal, opm, lyric, artist, performance, karaoke, tiktok: (Z21) (1.00)
song, singer, singing, sing, voice, song-song: (Z222) (0.60)
hand, camera, picture, dangerous, shoe, safe, clothes: (Z225) (0.81)

Level 1
singer, song, singing, sing, voice, song-song, fish: (Z37) (0.61)
game, play, basketball, dance, competition, player, kick: (Z315) (0.68)",-9bfDHHneyU,Alex Oh Reacts,https://www.youtube.com/channel/UC-wdvwNBuVobJRbISwjA5Hw
10 Reasons/Do not Retire TO the Philippines/Moving to the Philippines/Philippine/Dumaguete,https://www.youtube.com/watch?v=-C5iB25BRsA,"Level 3
woman, single, difference, opinion: (Z1190) (0.75)
vacation, expat, cultural, simple, strong, basic, money-money: (Z1199) (0.81)
bike, motorbike: (Z126) (1.00)
fish-fish, fish: (Z193) (1.00)
camera, film: (Z1108) (1.00)
tourist, island: (Z1141) (1.00)
plan, planning: (Z1200) (1.00)
meal, restaurant, menu: (Z157) (0.84)
girlfriend, boyfriend: (Z1157) (1.00)
karaoke, machine: (Z15) (1.00)
bed, bathroom, sleep: (Z177) (0.50)
dollar, price, buck, buddy: (Z1101) (0.63)
chicken-chicken, hungry, table, finish: (Z159) (0.51)
sell, owner, plastic, cafe, motorcycle, neighbor, bakery: (Z117) (0.85)
competition, kick, winner: (Z1161) (0.66)
extra, light, clean, drop, dog, charge, screen: (Z113) (0.61)
beer, drinking, san-miguel: (Z183) (0.85)
pay, rent, budget, load, close: (Z1104) (0.99)
shop, store, market, fresh: (Z198) (0.76)
plane, airport: (Z1138) (1.00)
filipina, relationship: (Z1158) (1.00)
animal, forest, snake, grass, specie, cow, eagle: (Z132) (0.75)
song, sing: (Z196) (1.00)
slow, glass, horse, bay: (Z1118) (0.66)
alcohol, bottle, drunk: (Z185) (0.99)
retire, jane: (Z191) (1.00)
roof, bedroom, door, ground, pressure: (Z179) (0.88)
true, story, sense, heart, instagram: (Z1191) (0.76)
combination, item, steam, dinner, total, salamat, rainy: (Z138) (0.99)
wild, sick, van, track, careful, vehicle, paper: (Z175) (0.55)
trip, road: (Z124) (1.00)
vegetable, fruit: (Z167) (1.00)
beach, beach-beach: (Z1142) (1.00)
power, attack, arm, solar: (Z1175) (0.78)
hospital, medical, patient: (Z1151) (1.00)
peso-peso, peso: (Z1102) (1.00)

Level 2
relationship, filipina, girlfriend, marry, boyfriend, marriage, husband: (Z241) (0.90)
doctor, hospital, medical, nurse, health, patient, safety: (Z238) (0.99)
island, beach, tourist, beach-beach: (Z234) (0.89)
shop, coffee, store, mall, market, fresh, shopping: (Z223) (0.51)
bed, pool, bathroom, shower, sleep, roof, bedroom: (Z216) (0.85)
drink, beer, drinking, alcohol, bottle, juice, drunk: (Z218) (0.97)
road, walk, car, trip, busy, massive, proper: (Z25) (0.95)
asian, woman, south, true, story, western, business: (Z247) (0.55)
peso, dollar, cheap, expensive, price, peso-peso, pay: (Z224) (0.97)

Level 1
peso, shop, coffee, dollar, store, cheap, expensive: (Z38) (0.97)
cheese, dessert, ice-cream, snack, meal, restaurant, menu: (Z33) (0.51)
road, walk, local, car, trip, main, busy: (Z32) (0.94)
island, beach, palawan, nido, boracay, tourist, beach-beach: (Z312) (0.73)",-C5iB25BRsA,Mike's Philippine Retirement,https://www.youtube.com/channel/UChJZEuE4O45M6CbcYOS3U1w
Christmas is NEXT LEVEL in the Philippines | Latinos react to Viral Filipino Singing TikToks,https://www.youtube.com/watch?v=-GVbt3qdq70,"Level 3
tough, emotional: (Z1174) (1.00)
hole, rock, pack, belly: (Z174) (0.97)
incredible, unbelievable: (Z1178) (1.00)
holiday, birthday, gift, special, december, santa: (Z186) (0.91)
vocal, opm, lyric, tiktok: (Z13) (1.00)
local, community: (Z110) (1.00)
latino, viral, coach, freak, review: (Z19) (1.00)
karaoke, machine: (Z15) (1.00)
game, play: (Z1163) (1.00)
feature-feature, podcast, feature: (Z18) (0.99)
original, correct, commercial, festival, standard, tone, judge: (Z1187) (0.91)
public, transportation: (Z118) (1.00)
star, jesus, model, flag, lord, gym: (Z1171) (0.87)
singer, singing, voice, song-song: (Z197) (1.00)
song, sing: (Z196) (1.00)
conversation, comfortable, english-english, accent, phrase: (Z1193) (0.54)
wild, sick, van, track, careful, vehicle, paper: (Z175) (0.95)
christmas, christmas-christmas, merry-christmas, september: (Z187) (0.98)
heavy, weight, typical, pound: (Z1184) (0.71)
western, west, common, average: (Z1192) (0.65)
listen, mate, sing-song, range, bloody, ridiculous, gentleman: (Z14) (0.58)
technique, control, note: (Z17) (0.80)

Level 2
latino, feature-feature, podcast, viral, coach, feature, freak: (Z22) (1.00)
beauty, incredible, star, movie, actual, power, jesus: (Z245) (0.94)
vocal, opm, lyric, artist, performance, karaoke, tiktok: (Z21) (1.00)
hole, rock, typhoon, foot, wind, port, pack: (Z215) (0.78)
popular, famous, original, correct, commercial, festival, standard: (Z246) (0.68)
christmas, holiday, christmas-christmas, birthday, gift, party, celebration: (Z219) (1.00)
song, singer, singing, sing, voice, song-song: (Z222) (1.00)

Level 1
singer, song, singing, sing, voice, song-song, fish: (Z37) (1.00)
popular, beauty, incredible, star, movie, actual, power: (Z316) (0.65)
vocal, feature-feature, latino, podcast, opm, lyric, artist: (Z31) (1.00)",#NAME?,Waleska Herrera,https://www.youtube.com/channel/UCPAz3hWHiBC-c1x4K0-atsg
RAPSTAR REACTION! FLOW G is the FILIPINO DRAKE!,https://www.youtube.com/watch?v=-JTkbbE_KP4,"Level 3
book, brain, read, singapore, access, comfort: (Z1180) (0.52)
walk, car, busy: (Z123) (0.57)
mixed, mexican, lie, dead: (Z145) (0.65)
girlfriend, boyfriend: (Z1157) (1.00)
game, play: (Z1163) (1.00)
basketball, player, sport, gold, gun: (Z1164) (0.89)
star, jesus, model, flag, lord, gym: (Z1171) (0.92)
hand, short, wave, finger, shirt: (Z1105) (0.57)
blue, sky, cloud: (Z131) (0.68)
song, sing: (Z196) (1.00)
slow, glass, horse, bay: (Z1118) (0.74)
magic, tshirt, excite, yellow, stupid, shake, rap: (Z1181) (0.53)
shoot, shot, ball: (Z1165) (0.80)

Level 2
beauty, incredible, star, movie, actual, power, jesus: (Z245) (0.90)
game, play, basketball, player, sport, shoot, shot: (Z243) (0.98)

Level 1
game, play, basketball, dance, competition, player, kick: (Z315) (0.95)",#NAME?,T HUBS 22,https://www.youtube.com/channel/UCxKN5z9rc4DlZ-7gI7mHKFg
Port Barton in the Philippines: Foreigners first impressions - Where are the tourists?!?!,https://www.youtube.com/watch?v=-JlBNKlG3Yw,"Level 3
incredible, unbelievable: (Z1178) (1.00)
bike, motorbike: (Z126) (1.00)
dry, wet, season: (Z137) (0.72)
palm, tree, sand, bamboo: (Z129) (0.84)
pool, shower, toilet, private, bar: (Z178) (0.96)
hotel, ferry, seat, wifus, bohol, terminal: (Z162) (0.99)
tourist, island: (Z1141) (1.00)
walk, car, busy: (Z123) (0.57)
nido, boracay, paradise, kayak: (Z1144) (0.69)
school, college, teacher: (Z1152) (0.83)
bed, bathroom, sleep: (Z177) (0.81)
sell, owner, plastic, cafe, motorcycle, neighbor, bakery: (Z117) (0.63)
tip, daily, luke, blog: (Z1114) (0.56)
color, green, brown, white: (Z147) (0.81)
basketball, player, sport, gold, gun: (Z1164) (0.53)
warm, cold: (Z139) (1.00)
boat, tour: (Z165) (1.00)
province, update, culture-shock: (Z192) (0.58)
adventure, explore: (Z161) (1.00)
spot, view, sunset, guide: (Z166) (0.83)
alcohol, bottle, drunk: (Z185) (0.65)
quiet, stair, rodrigo, davao, reserve, corporation: (Z1122) (0.72)
wild, sick, van, track, careful, vehicle, paper: (Z175) (0.54)
vegetable, fruit: (Z167) (1.00)
beach, beach-beach: (Z1142) (1.00)
picture, photo, funny: (Z1109) (0.57)
hospital, medical, patient: (Z1151) (0.91)
main, unique: (Z111) (1.00)
milk, coconut: (Z168) (1.00)
shoot, shot, ball: (Z1165) (0.75)
river, bridge, jungle, cross: (Z130) (0.99)

Level 2
tour, spot, view, boat, sunset, guide: (Z212) (0.94)
fruit, milk, vegetable, coconut, bread, bean, dip: (Z213) (0.82)
island, beach, tourist, beach-beach: (Z234) (1.00)
bed, pool, bathroom, shower, sleep, roof, bedroom: (Z216) (0.68)
mountain, bike, river, motorbike, scooter, blue, sky: (Z26) (0.99)
palawan, nido, boracay, paradise, lagoon, coron, kayak: (Z235) (0.98)
game, play, basketball, player, sport, shoot, shot: (Z243) (0.73)

Level 1
tour, spot, adventure, cebu, view, explore, boat: (Z34) (0.99)
mango, fruit, milk, banana, vegetable, coconut, bread: (Z35) (0.84)
island, beach, palawan, nido, boracay, tourist, beach-beach: (Z312) (1.00)
game, play, basketball, dance, competition, player, kick: (Z315) (0.51)",#NAME?,Dabble and Travel,https://www.youtube.com/channel/UCVv-y0k91qAA-uI_K46UBvg
Philippines VS. Thailand - 7 BIG differences (Girlfriend Experience!),https://www.youtube.com/watch?v=-KHOXPq_M-Q,"Level 3
business, issue: (Z1197) (1.00)
woman, single, difference, opinion: (Z1190) (1.00)
vacation, expat, cultural, simple, strong, basic, money-money: (Z1199) (0.79)
mother, father: (Z1168) (1.00)
local, community: (Z110) (1.00)
tourist, island: (Z1141) (1.00)
girlfriend, boyfriend: (Z1157) (1.00)
hot-hot, club, farm, guest, red-horse, treat, sardine: (Z1117) (0.57)
size, bigger: (Z115) (1.00)
impression, friendly: (Z1110) (1.00)
dollar, price, buck, buddy: (Z1101) (0.80)
learn, english: (Z1155) (1.00)
beer, drinking, san-miguel: (Z183) (0.85)
egg, breakfast: (Z1135) (1.00)
filipina, relationship: (Z1158) (1.00)
retire, jane: (Z191) (1.00)
conversation, comfortable, english-english, accent, phrase: (Z1193) (0.59)
trip, road: (Z124) (1.00)
beach, beach-beach: (Z1142) (1.00)
western, west, common, average: (Z1192) (0.56)
building, global, museum, grand: (Z1125) (0.55)
city, major, capital, religion, muslim: (Z1206) (0.70)
cheap, expensive, cheaper, kilometer: (Z1103) (0.96)

Level 2
relationship, filipina, girlfriend, marry, boyfriend, marriage, husband: (Z241) (1.00)
island, beach, tourist, beach-beach: (Z234) (0.75)
brother, mother, father, eye, sister, uncle, blood: (Z244) (0.91)
asian, woman, south, true, story, western, business: (Z247) (0.54)
peso, dollar, cheap, expensive, price, peso-peso, pay: (Z224) (0.71)
english, language, speak, tagalog, language-language, learn: (Z240) (0.66)

Level 1
peso, shop, coffee, dollar, store, cheap, expensive: (Z38) (0.82)
school, language, english, student, speak, study, language-language: (Z314) (0.77)
impression, bgc, manila-manila, friendly, hand, building, camera: (Z39) (0.89)",#NAME?,AceBachelorCool,https://www.youtube.com/channel/UCU78xbApo9_MCzS7B_tfY8w
Why Americans Love Filipino Culture,https://www.youtube.com/watch?v=-NkPxyvAqzA,"Level 3
language, speak, tagalog, language-language: (Z1156) (0.85)
vacation, expat, cultural, simple, strong, basic, money-money: (Z1199) (0.71)
hole, rock, pack, belly: (Z174) (0.72)
snack, chocolate, corn: (Z135) (0.55)
incredible, unbelievable: (Z1178) (1.00)
bike, motorbike: (Z126) (1.00)
dry, wet, season: (Z137) (0.87)
war, nation, military, soldier, president, army, fight: (Z1204) (0.98)
pinoy, pinay, mom: (Z1120) (0.70)
travel, offer, meeting, world, hall, queue, tired: (Z160) (0.82)
book, brain, read, singapore, access, comfort: (Z1180) (0.87)
walk, car, busy: (Z123) (0.99)
poverty, lifestyle, usa: (Z1113) (0.72)
spaghetti, hot-dog: (Z155) (1.00)
school, college, teacher: (Z1152) (0.62)
karaoke, machine: (Z15) (1.00)
taxi, flight, ride: (Z1137) (0.85)
hot-hot, club, farm, guest, red-horse, treat, sardine: (Z1117) (0.89)
bed, bathroom, sleep: (Z177) (0.50)
impression, friendly: (Z1110) (1.00)
game, play: (Z1163) (1.00)
duck, balut: (Z1134) (1.00)
girl-girl, contact, specific, intense, angry, dress, percent: (Z1169) (0.68)
learn, english: (Z1155) (1.00)
public, transportation: (Z118) (1.00)
banana, banana-banana: (Z172) (1.00)
hand, short, wave, finger, shirt: (Z1105) (0.99)
dangerous, safe, scary: (Z1107) (0.89)
street-street, chinatown, barbecue, squid: (Z1116) (0.85)
alcohol, bottle, drunk: (Z185) (0.65)
conversation, comfortable, english-english, accent, phrase: (Z1193) (0.90)
hop, shark, whale-shark, tropical, gorgeous, secret, peace: (Z182) (0.87)
true, story, sense, heart, instagram: (Z1191) (0.81)
tricycle, driver, option, alina: (Z112) (0.85)
training, train, knee, enemy, leg, mission, final: (Z1160) (0.50)
leaf, portion, liver, plain, feed, tongue, complete: (Z143) (0.82)
wild, sick, van, track, careful, vehicle, paper: (Z175) (0.58)
party, celebration, spirit, tradition, king, rule, happy-birthday: (Z188) (0.78)
beach, beach-beach: (Z1142) (1.00)
diverse, product, field, earlier, native, late, exciting: (Z1196) (0.92)
mountain, nature, destination, waterfall: (Z128) (0.90)
asian, southeast, european: (Z1194) (0.91)
quick, journey, honest, leave, meet, space, level: (Z121) (0.96)
main, unique: (Z111) (1.00)
juice, drink: (Z184) (1.00)
technique, control, note: (Z17) (0.80)
sound, clip, imagine, breath, environment: (Z16) (0.63)

Level 2
meal, restaurant, menu, spaghetti, jollibee, burger, gravy: (Z210) (0.71)
local, main, tricycle, bus, driver, service, bigger: (Z23) (0.74)
mountain, bike, river, motorbike, scooter, blue, sky: (Z26) (0.77)
impression, friendly, street-street, hill, fort, church, san: (Z226) (1.00)
road, walk, car, trip, busy, massive, proper: (Z25) (0.99)
huge, quick, journey, honest, leave, meet, space: (Z24) (0.97)
game, play, basketball, player, sport, shoot, shot: (Z243) (0.79)
christmas, holiday, christmas-christmas, birthday, gift, party, celebration: (Z219) (0.52)
hand, camera, picture, dangerous, shoe, safe, clothes: (Z225) (0.80)
english, language, speak, tagalog, language-language, learn: (Z240) (0.98)

Level 1
school, language, english, student, speak, study, language-language: (Z314) (0.99)
cheese, dessert, ice-cream, snack, meal, restaurant, menu: (Z33) (0.60)
road, walk, local, car, trip, main, busy: (Z32) (0.89)
impression, bgc, manila-manila, friendly, hand, building, camera: (Z39) (0.96)
game, play, basketball, dance, competition, player, kick: (Z315) (0.86)",#NAME?,Lifey,https://www.youtube.com/channel/UC25HBOBYfc-scqCQcyYKVNw
