Id,Level,Texts,General Category,Specific Category,Conceptual Relation,Philippine Context,Topic Number
Z35,1,mango fruit milk banana vegetable coconut bread,Food,Fruits & Dietary Items,4,4,0
Z214,2,mango banana pineapple orange apple peach banana-banana,Food,Fruits ,5,4,1
Z170,3,pineapple orange apple cut,Food,Fruits,4,3,2
Z172,3,banana banana-banana,Food,Bananas,5,4,3
Z171,3,mango peach,Food,Peach Mangoes,5,4,4
Z213,2,fruit milk vegetable coconut bread bean dip,Food,Fruits & Dietary Items,3,4,5
Z168,3,milk coconut,Food,Coconut Milk,3,5,6
Z167,3,vegetable fruit,Food,Fruits & Vegetables,5,2,7
Z169,3,bread bean tea dip jelly,Food,Snacks and Light Meals,3,3,8
Z315,1,game play basketball dance competition player kick,Lifestyle,Basketball Competition,4,4,9
Z242,2,dance competition kick winner training dancing knee,Lifestyle,Dance Competition,4,3,10
Z1161,3,competition kick winner,Lifestyle,Competition,5,2,11
Z1162,3,dance dancing,Lifestyle,Dancing,5,2,12
Z1160,3,training train knee enemy leg mission final,Lifestyle,Physical Training,2,1,13
Z244,2,brother mother father eye sister uncle blood,Lifestyle,Family Relations,4,3,14
Z1170,3,eye pop poor fair decent nose perspective,Others,Facial Features,2,1,15
Z1166,3,brother jay pipe,Others,Hard to Categorize / Seems Useless,1,1,16
Z1169,3,girl-girl contact specific intense angry dress percent,Others,Hard to Categorize / Seems Useless,1,1,17
Z1168,3,mother father,Lifestyle,Parents,5,2,18
Z1167,3,sister uncle blood cousin speed afraid scared,Lifestyle,Family Relations,2,3,19
Z243,2,game play basketball player sport shoot shot,Lifestyle,Basketball,5,4,20
Z1163,3,game play,Lifestyle,Gaming,5,1,21
Z1164,3,basketball player sport gold gun,Lifestyle,Basketball ,2,3,22
Z1165,3,shoot shot ball,Lifestyle,Ball Sports,5,2,23
Z37,1,singer song singing sing voice song-song fish,Entertainment,Music and Singing,4,3,24
Z222,2,song singer singing sing voice song-song,Entertainment,Music and Singing,5,4,25
Z196,3,song sing,Entertainment,Music and Singing,5,3,26
Z197,3,singer singing voice song-song,Entertainment,Music and Singing,5,4,27
Z221,2,fish shrimp seafood tomato rice-rice fish-fish pot,Food,Seafood Rice Dish,3,5,28
Z193,3,fish-fish fish,Food,Fish,5,5,29
Z195,3,tomato rice-rice pot chef pasta kitchen mushroom,Food,Tomato Pasta and Rice Dishes,4,4,30
Z194,3,seafood shrimp,Food,Shrimp and Seafoods,5,5,31
Z312,1,island beach palawan nido boracay tourist beach-beach,Travel,Philippine Beach Tourism,5,5,32
Z235,2,palawan nido boracay paradise lagoon coron kayak,Travel,Tourism and Kayaking in Palawan and Boracay,5,5,33
Z1144,3,nido boracay paradise kayak,Travel,Tourism and Kayaking in Palawan and Boracay,5,5,34
Z1143,3,palawan lagoon coron coral,Travel,Coron Palawan Tourism,5,5,35
Z234,2,island beach tourist beach-beach,Travel,Tourist Islands and Beaches,5,4,36
Z1141,3,tourist island,Travel,Tourist Islands,5,4,37
Z1142,3,beach beach-beach,Travel,Beaches,5,4,38
Z31,1,vocal feature-feature latino podcast opm lyric artist,Entertainment,Vocal Features and Lyrics in Latino & OPM Music,3,2,39
Z21,2,vocal opm lyric artist performance karaoke tiktok,Entertainment,OPM Vocal Performances and Karaoke on TikTok,4,3,40
Z11,3,performance band concert stage studio,Entertainment,Concert and Studio Music Performances,5,1,41
Z15,3,karaoke machine,Entertainment,Karaoke machine,5,4,42
Z13,3,vocal opm lyric tiktok,Entertainment,OPM and TikTok Trends,4,3,43
Z17,3,technique control note,Entertainment,Music Performance Techniques,5,1,44
Z14,3,listen mate sing-song range bloody ridiculous gentleman,Others,Hard to Categorize / Seems Useless,2,1,45
Z12,3,artist industry,Entertainment,Artist Industry,4,1,46
Z16,3,sound clip imagine breath environment,Entertainment,Environmental Sound Clips,2,1,47
Z22,2,latino feature-feature podcast viral coach feature freak,Entertainment,Viral Latino Coach and Podcast Features,2,1,48
Z18,3,feature-feature podcast feature,Entertainment,Podcast Features,3,1,49
Z19,3,latino viral coach freak review,Entertainment,Viral Latino Coach Reactions and Reviews,2,1,50
Z34,1,tour spot adventure cebu view explore boat,Travel,Adventure Tours and Boat Exploration in Cebu,5,5,51
Z212,2,tour spot view boat sunset guide,Travel,Sunset Boat Tours ,5,3,52
Z166,3,spot view sunset guide,Travel,Sunset Viewpoints Guide,5,3,53
Z165,3,boat tour,Travel,Boat Tour,5,3,54
Z211,2,adventure cebu explore hotel card ferry travel,Travel,Cebu Adventure,5,5,55
Z160,3,travel offer meeting world hall queue tired,Travel,Travel Events and Meeting Experiences,2,1,56
Z163,3,cebu cebu-cebu,Travel,Cebu,5,5,57
Z164,3,card cash internet cost fee gas,Others,Expenses and Payment Options,4,1,58
Z161,3,adventure explore,Travel,Adventure and Exploration,5,1,59
Z162,3,hotel ferry seat wifus bohol terminal,Travel,Travel and Accommodation in Bohol,4,2,60
Z311,1,taxi airport flight ride plane passport visa,Travel,"Airport Transportation, Flights, and Travel Documents",5,2,61
Z232,2,taxi airport flight ride plane,Travel,Taxi Rides and Flights,5,1,62
Z1137,3,taxi flight ride,Travel,Taxi Rides and Flights,5,1,63
Z1138,3,plane airport,Travel,Airport,5,1,64
Z233,2,passport visa company office online immigration phone,Travel,Immigration and Visa Services,4,2,65
Z1139,3,visa company online immigration phone tax,Travel,Immigration and Visa Services,4,2,66
Z1140,3,passport office document shopping-mall,Travel,Passport Documents,3,1,67
Z33,1,cheese dessert ice-cream snack meal restaurant menu,Food,Cheese and Ice Cream Desserts,5,1,68
Z29,2,dessert ice-cream ube cream creamy caramel,Food,Ube and Caramel Ice Cream,5,5,69
Z153,3,dessert ice-cream ube,Food,Ube Ice Cream,5,5,70
Z152,3,cream creamy caramel,Food,Caramel and Cream,5,1,71
Z27,2,cheese snack chocolate cheese-cheese chip corn yum,Food,Cheese Snacks,4,2,72
Z136,3,chip snack-snack cracker brand,Food,Chips and Snacks,5,2,73
Z133,3,cheese cheese-cheese,Food,Cheese,5,1,74
Z135,3,snack chocolate corn,Food,Snack Foods: Chocolate and Corn,4,2,75
Z134,3,yum peanut cheesy bun classic fan juicy,Food,Juicy and Cheesy Snack Treats,2,1,76
Z28,2,ice spoon cold red butter mukbang sausage,Food,Mukbang: Cold Treats and Sausage,2,2,77
Z150,3,sausage sandwich ketchup bacon steak italian french,Food,Italian and French-Inspired Meat Sandwiches,4,1,78
Z140,3,ice grab bowl excited halo-halo flan,Food,Filipino Desserts: Halo-Halo and Leche Flan,4,5,79
Z149,3,red purple stomach fine strawberry oreo baguio,Food,Baguio Strawberries,2,4,80
Z141,3,spoon fork plate,Food,Kitchenware and Utensils,5,1,81
Z151,3,pizza curry bubble,Food,"Pizza, Curry, and Bubble Drinks",3,1,82
Z145,3,mixed mexican lie dead,Others,Mexican Narratives,1,1,83
Z146,3,mukbang candy lee,Food,Candy Mukbang,3,2,84
Z147,3,color green brown white,Others,Colors,5,1,85
Z148,3,butter heat dough pan package bet summer,Food,Baking Ingredients and Process,3,1,86
Z142,3,spring regular tooth exotic today tofu energy,Food,Hard to Categorize / Seems Useless,1,1,87
Z144,3,fat bone tender pig lechon,Food,Lechon,5,5,88
Z137,3,dry wet season,Others,Philippine Weather,5,4,89
Z138,3,combination item steam dinner total salamat rainy,Others,Hard to Categorize / Seems Useless,2,2,90
Z143,3,leaf portion liver plain feed tongue complete,Food,Meat and Animal Feed,2,1,91
