hltm_topic_id,hltm_label,bertopic_id,bertopic_label,overlap_count,overlap_ids,matched_topic_size,overlap_ratio_over_hltm,overlap_ratio_over_bertopic
Z22,Viral Latino Coach and Podcast Features,1,Topic 1: Learning and Speaking Foreign Language,21,"['1963', '2025', '2381', '2013', '2285', '514', '986', '671', '538', '427', '426', '1899', '2586', '1378', '2190', '855', '711', '1246', '1621', '2363', '2479']",258,0.15441176470588236,0.08139534883720931
Z22,Viral Latino Coach and Podcast Features,2,Topic 2: Christmas Season & Celebration,12,"['19', '1793', '1783', '2437', '1584', '1735', '5', '427', '1246', '2215', '1523', '296']",205,0.08823529411764706,0.05853658536585366
Z22,Viral Latino Coach and Podcast Features,3,Topic 3: Experiences of Children in Community & Culture,7,"['132', '538', '2242', '855', '1639', '1584', '986']",149,0.051470588235294115,0.04697986577181208
Z22,Viral Latino Coach and Podcast Features,4,"Topic 4: Military Assets, Combat, Strategies",1,['1584'],47,0.007352941176470588,0.02127659574468085
Z22,Viral Latino Coach and Podcast Features,5,Topic 5: Barber Services,4,"['2267', '427', '1938', '1791']",93,0.029411764705882353,0.043010752688172046
Z22,Viral Latino Coach and Podcast Features,6,Topic 6: Wildlife Species & Conservation,1,['671'],49,0.007352941176470588,0.02040816326530612
Z22,Viral Latino Coach and Podcast Features,7,Topic 7: Makeup Products and Application,2,"['19', '2285']",95,0.014705882352941176,0.021052631578947368
Z22,Viral Latino Coach and Podcast Features,8,Topic 8: Philippines’ Dating & Relationship of Females,2,"['132', '1511']",98,0.014705882352941176,0.02040816326530612
Z22,Viral Latino Coach and Podcast Features,9,Topic 9: Travel to Taiwan & Destinations,3,"['1129', '671', '1386']",68,0.022058823529411766,0.04411764705882353
Z22,Viral Latino Coach and Podcast Features,10,Topic 10: Swimming with Whale Sharks ,2,"['65', '994']",110,0.014705882352941176,0.01818181818181818
Z22,Viral Latino Coach and Podcast Features,11,Topic 11:  Black Experiences and Acceptance,2,"['1246', '1600']",59,0.014705882352941176,0.03389830508474576
Z22,Viral Latino Coach and Podcast Features,12,Topic 12: Drinking Culture & Practices,1,['1735'],42,0.007352941176470588,0.023809523809523808
Z22,Viral Latino Coach and Podcast Features,13,Topic 13: Balut and other Eggs,1,['2280'],94,0.007352941176470588,0.010638297872340425
Z22,Viral Latino Coach and Podcast Features,14,Topic 14: Spanish Colonialism in the Philippines,1,['246'],55,0.007352941176470588,0.01818181818181818
Z22,Viral Latino Coach and Podcast Features,15,Topic 15: Walking by the Beach Experience,7,"['2581', '589', '2542', '2611', '2261', '1949', '1639']",209,0.051470588235294115,0.03349282296650718
Z22,Viral Latino Coach and Podcast Features,18,Topic 18: Sagada Burial Caves & Hanging Coffins,2,"['2676', '1389']",50,0.014705882352941176,0.04
Z22,Viral Latino Coach and Podcast Features,19,Topic 19: Philippine Halo-Halo Dessert,1,['1386'],228,0.007352941176470588,0.0043859649122807015
Z22,Viral Latino Coach and Podcast Features,20,Topic 20: Travel Immigration & Visa Processes,1,['2515'],68,0.007352941176470588,0.014705882352941176
Z22,Viral Latino Coach and Podcast Features,21,Topic 21: Banaue Rice Terraces,1,['2503'],63,0.007352941176470588,0.015873015873015872
Z22,Viral Latino Coach and Podcast Features,23,Topic 23: Seasons and Weather ,5,"['2261', '988', '427', '1129', '2644']",72,0.03676470588235294,0.06944444444444445
Z22,Viral Latino Coach and Podcast Features,24,Topic 24: Manny Pacquaio (National Icon),4,"['1954', '1783', '1637', '2453']",55,0.029411764705882353,0.07272727272727272
Z22,Viral Latino Coach and Podcast Features,26,Topic 26: Local Coffee and Coffee Shops,1,['1070'],87,0.007352941176470588,0.011494252873563218
Z22,Viral Latino Coach and Podcast Features,27,Topic 27: Listening & Watching Loved Ones Depart ,3,"['671', '1600', '2182']",54,0.022058823529411766,0.05555555555555555
Z22,Viral Latino Coach and Podcast Features,28,Topic 28: Mixed Martial Arts and Fighting ,3,"['2542', '1786', '855']",35,0.022058823529411766,0.08571428571428572
Z22,Viral Latino Coach and Podcast Features,29,Topic 29: Medical Diagnostics & Hospital Services ,2,"['2586', '1397']",51,0.014705882352941176,0.0392156862745098
Z22,Viral Latino Coach and Podcast Features,32,Topic 32: Dogs,1,['290'],53,0.007352941176470588,0.018867924528301886
Z22,Viral Latino Coach and Podcast Features,33,Topic 33: San Miguel Corporation,1,['711'],33,0.007352941176470588,0.030303030303030304
