hltm_topic_id,hltm_label,bertopic_id,bertopic_label,overlap_count,overlap_ids,matched_topic_size,overlap_ratio_over_hltm,overlap_ratio_over_bertopic
Z1197,Business Issues,33,Topic 33: San Miguel Corporation,17,"['683', '1004', '1157', '1344', '131', '1382', '1400', '1536', '2125', '1275', '74', '1314', '2491', '1088', '1135', '999', '624']",33,0.030035335689045935,0.5151515151515151
Z1197,Business Issues,39,Topic 39: Racial Discrimination,18,"['265', '2224', '1792', '2675', '1462', '1169', '2519', '2452', '394', '1314', '1710', '841', '656', '1809', '2316', '312', '2342', '1998']",35,0.03180212014134275,0.5142857142857142
Z1197,Business Issues,40,Topic 40: Largest Solar Power Projects in Manila / Southeast Asia,27,"['1543', '1227', '1037', '1237', '1631', '1925', '1619', '8', '1078', '118', '1135', '1661', '2183', '237', '1922', '143', '1314', '1141', '2065', '303', '1596', '2691', '1539', '2374', '1024', '379', '953']",49,0.04770318021201413,0.5510204081632653
Z1190,Single Women and Opinions,94,Topic 94: Friendly and Romantic Relationships ,17,"['295', '1412', '303', '1150', '2352', '4', '765', '1631', '1103', '2110', '2519', '1794', '79', '1957', '33', '915', '2031']",33,0.04632152588555858,0.5151515151515151
Z180,Sea Diving,10,Topic 10: Swimming with Whale Sharks ,58,"['1018', '1708', '1867', '839', '100', '932', '2618', '2449', '1591', '1968', '232', '387', '1094', '993', '1176', '2632', '906', '994', '1026', '0', '2593', '2684', '326', '2336', '793', '2473', '2282', '2574', '1252', '1388', '930', '2054', '320', '1828', '400', '1225', '205', '1705', '285', '386', '1343', '606', '1047', '496', '917', '1193', '360', '2053', '1663', '391', '54', '944', '1680', '1702', '2570', '1206', '2031', '430']",110,0.21481481481481482,0.5272727272727272
Z1156,Tagalog Education,1,Topic 1: Learning and Speaking Foreign Language,143,"['551', '664', '2021', '1154', '986', '426', '123', '1073', '956', '1044', '2588', '1603', '1704', '59', '1431', '476', '1118', '1189', '368', '2575', '2382', '274', '742', '297', '405', '1695', '293', '899', '1173', '1948', '500', '2315', '2363', '1011', '917', '40', '2522', '2585', '1502', '855', '1839', '358', '2653', '519', '2128', '428', '2408', '1462', '2147', '332', '1271', '201', '1473', '1365', '1821', '1594', '1847', '267', '2340', '1582', '2439', '2498', '1538', '2692', '1514', '2243', '1244', '2598', '1897', '1054', '1433', '36', '2381', '711', '1686', '578', '1228', '1486', '2285', '1287', '1246', '1366', '1081', '1428', '530', '1562', '1467', '1198', '1747', '1881', '1898', '2013', '514', '1762', '2355', '319', '116', '2446', '2190', '1541', '1378', '1628', '1934', '180', '2591', '1376', '392', '1633', '587', '215', '782', '2102', '520', '1443', '717', '1272', '749', '2597', '891', '678', '675', '1920', '1940', '845', '1330', '2428', '2386', '1387', '1533', '2657', '1355', '2553', '2592', '2586', '2543', '2335', '555', '2391', '2265', '1979', '1931', '401', '1658']",258,0.5276752767527675,0.5542635658914729
Z245,"Celebrity, Faith, and Perception",14,Topic 14: Spanish Colonialism in the Philippines,28,"['265', '154', '72', '232', '1135', '94', '1900', '1366', '2247', '862', '1462', '1940', '2185', '1355', '1710', '2498', '2383', '917', '941', '1502', '81', '246', '1979', '2178', '1680', '200', '93', '2554']",55,0.04472843450479233,0.509090909090909
Z245,"Celebrity, Faith, and Perception",46,Topic 46: National Flag,16,"['373', '356', '603', '1154', '1462', '2563', '599', '2257', '1979', '1133', '500', '2498', '200', '1502', '94', '2398']",30,0.025559105431309903,0.5333333333333333
Z212,Sunset Boat Tours ,10,Topic 10: Swimming with Whale Sharks ,64,"['1083', '968', '1708', '519', '839', '932', '1686', '1968', '1591', '2426', '2140', '1552', '2398', '1977', '1176', '993', '906', '994', '1026', '1689', '1568', '0', '2593', '2399', '326', '793', '2473', '314', '1893', '2637', '1721', '2282', '2010', '2574', '1252', '731', '930', '1828', '1225', '1438', '205', '285', '1493', '1343', '2057', '606', '1047', '496', '1193', '360', '391', '2356', '944', '2367', '1385', '1680', '2671', '1702', '1212', '1206', '7', '1635', '100', '430']",110,0.15647921760391198,0.5818181818181818
Z1186,Famous and Popular,46,Topic 46: National Flag,19,"['1154', '1341', '94', '2398', '356', '1462', '2563', '1133', '373', '1744', '500', '2096', '902', '2498', '630', '934', '1979', '200', '1502']",30,0.022538552787663108,0.6333333333333333
Z1186,Famous and Popular,54,Topic 54: Manila Cathedral,34,"['1731', '1154', '34', '1179', '2433', '1727', '1896', '1591', '2482', '703', '2308', '1409', '308', '1497', '618', '1697', '2461', '536', '456', '95', '959', '383', '2517', '2333', '1528', '327', '753', '2527', '1121', '1420', '1997', '669', '2407', '2688']",67,0.04033214709371293,0.5074626865671642
