hltm_topic_id,hltm_label,bertopic_id,bertopic_label,overlap_count,overlap_ids,matched_topic_size,overlap_ratio
Z1155,English Education,1,Topic 1: Learning and Speaking Foreign Language,180,"['1143', '427', '36', '273', '861', '555', '40', '2190', '426', '1154', '2591', '1376', '556', '428', '535', '2498', '899', '34', '2439', '1547', '1582', '471', '1948', '1897', '1228', '319', '749', '1355', '2653', '1931', '1898', '1658', '2021', '1486', '2598', '671', '2290', '1745', '2355', '1173', '2570', '1366', '2382', '2315', '1847', '481', '491', '743', '530', '2335', '1272', '1851', '346', '845', '1574', '476', '1986', '520', '2381', '215', '1169', '1762', '2262', '711', '742', '1695', '645', '2362', '69', '1467', '2265', '1433', '1611', '2522', '1633', '2371', '268', '1271', '332', '1747', '2338', '274', '2428', '2421', '2639', '2133', '1044', '1940', '1330', '2477', '265', '123', '578', '705', '2140', '201', '717', '267', '180', '2102', '2586', '1073', '1246', '1428', '116', '855', '782', '102', '500', '852', '895', '2128', '2391', '664', '293', '2575', '956', '986', '1365', '1541', '1628', '1942', '1941', '683', '2160', '1686', '2511', '230', '1934', '1473', '1821', '2330', '1989', '1443', '1704', '1502', '2657', '675', '1881', '401', '1533', '1562', '551', '2592', '528', '2588', '2326', '1979', '2396', '1839', '1189', '2543', '2553', '368', '1387', '1538', '2340', '392', '2070', '917', '2370', '519', '678', '1431', '1514', '1792', '1118', '1462', '655', '1378', '1827', '2408', '1244', '1054', '1081', '1594', '704', '2234', '297', '2386']",258,0.6976744186046512
Z33,Cheese and Ice Cream Desserts,19,Topic 19: Philippine Halo-Halo Dessert,162,"['1953', '990', '1653', '1097', '2117', '615', '2081', '1194', '179', '2121', '1843', '1236', '1190', '1736', '1962', '744', '250', '467', '190', '2277', '1201', '2316', '620', '2518', '1638', '2206', '1702', '1370', '1787', '939', '2248', '1715', '1694', '584', '2312', '758', '2569', '470', '2201', '1529', '875', '213', '2536', '1967', '1853', '586', '139', '2052', '142', '1123', '2127', '1531', '974', '1727', '1849', '726', '1046', '609', '2252', '504', '694', '1155', '644', '2380', '309', '817', '2456', '268', '1435', '186', '1218', '1487', '1062', '221', '2306', '622', '1852', '1231', '1469', '2616', '95', '344', '754', '1408', '728', '1202', '1241', '317', '909', '2169', '2062', '2682', '196', '572', '456', '1247', '634', '2633', '946', '1498', '1625', '707', '2066', '1506', '738', '1813', '708', '1175', '872', '931', '2272', '1065', '970', '1420', '341', '2254', '294', '550', '1704', '155', '438', '289', '13', '1739', '1095', '650', '2326', '971', '1392', '224', '980', '2419', '1504', '75', '2487', '1128', '1846', '359', '1020', '152', '630', '1586', '323', '713', '917', '1191', '890', '1818', '506', '1109', '866', '46', '2198', '429', '1349', '1551', '1342', '1997', '2445', '627', '1009', '2209']",228,0.7105263157894737
Z314,English Language Learning and Education,1,Topic 1: Learning and Speaking Foreign Language,156,"['1143', '427', '36', '555', '40', '2190', '2013', '426', '1154', '2591', '1376', '2597', '428', '2498', '899', '2439', '514', '1547', '1582', '471', '1948', '1897', '1228', '319', '749', '1355', '2653', '1931', '1898', '1658', '2021', '1486', '2598', '2290', '2355', '1173', '1366', '2382', '2315', '1847', '743', '530', '2335', '1272', '1851', '845', '1574', '59', '476', '891', '520', '2381', '215', '1169', '1762', '711', '742', '1695', '2446', '2362', '2243', '1467', '2265', '1433', '2522', '1633', '1271', '332', '1747', '2428', '2421', '1044', '1940', '1330', '2477', '265', '123', '578', '201', '717', '267', '180', '2102', '2586', '1246', '1428', '116', '855', '782', '500', '2391', '895', '2128', '664', '293', '2575', '956', '986', '1011', '1365', '1541', '1628', '683', '1686', '2511', '1934', '1473', '1821', '1443', '1704', '1502', '2657', '675', '1881', '401', '1533', '1562', '551', '2592', '2588', '2585', '2363', '1979', '2396', '1839', '1189', '2543', '2553', '368', '1387', '1538', '405', '392', '2340', '2070', '917', '2370', '519', '678', '1431', '1514', '1792', '1118', '1462', '655', '1378', '2408', '1244', '1054', '587', '1081', '1594', '358', '704', '297', '2386']",258,0.6046511627906976
Z240,English and Tagalog Education,1,Topic 1: Learning and Speaking Foreign Language,152,"['427', '36', '555', '40', '2190', '2013', '426', '1154', '2591', '1376', '2597', '428', '2498', '899', '2439', '514', '1547', '1582', '471', '1948', '1897', '1228', '319', '749', '1355', '2653', '1931', '1898', '1658', '2021', '1486', '2598', '2290', '2355', '1173', '1920', '1366', '2382', '2315', '1847', '743', '530', '2335', '1272', '845', '476', '520', '2381', '215', '1762', '711', '742', '1695', '2446', '2243', '1467', '2265', '1433', '2522', '1633', '1271', '332', '1747', '274', '2692', '2428', '1044', '1940', '1330', '2477', '265', '123', '578', '201', '717', '267', '180', '2102', '2586', '1073', '2147', '1246', '1428', '116', '855', '782', '500', '2391', '895', '2128', '664', '293', '2575', '956', '986', '1011', '1365', '1541', '1628', '683', '1686', '2511', '1934', '1473', '1821', '2285', '1989', '1443', '1704', '1502', '2657', '675', '1881', '401', '1533', '1562', '551', '2592', '2588', '2585', '2363', '1979', '2396', '1839', '1189', '2543', '2553', '368', '1387', '1538', '405', '392', '2340', '917', '519', '678', '1431', '1514', '1118', '1462', '655', '1378', '2408', '1244', '1054', '587', '1081', '1594', '358', '704', '297', '2386']",258,0.5891472868217055
Z1156,Tagalog Education,1,Topic 1: Learning and Speaking Foreign Language,143,"['36', '555', '40', '2190', '2013', '426', '1154', '2591', '1376', '2597', '1287', '428', '2498', '899', '2439', '514', '1582', '1948', '1897', '1228', '319', '749', '1355', '2653', '1931', '1898', '1658', '2021', '1486', '2598', '2355', '1173', '1920', '1366', '2382', '2315', '1847', '530', '2335', '1272', '845', '59', '476', '891', '520', '2381', '215', '1762', '711', '742', '1695', '2446', '2243', '1467', '2265', '1433', '2522', '1633', '1271', '332', '1747', '274', '2692', '2428', '1198', '1044', '1940', '1330', '123', '578', '201', '717', '267', '180', '2102', '2586', '1073', '2147', '1246', '1428', '116', '855', '782', '500', '2391', '2128', '664', '293', '2575', '956', '986', '1011', '1365', '1541', '1628', '1686', '1934', '1473', '1821', '2285', '1443', '1603', '1502', '1704', '675', '2657', '401', '1533', '1562', '551', '2592', '2588', '2585', '2363', '1979', '1839', '1189', '2543', '2553', '368', '1387', '1538', '405', '392', '2340', '917', '519', '678', '1431', '1514', '1118', '1462', '1378', '2408', '1244', '1054', '587', '1081', '1594', '358', '1881', '297', '2386']",258,0.5542635658914729
Z1126,Crispy and Soft Treats,19,Topic 19: Philippine Halo-Halo Dessert,124,"['1478', '900', '990', '1097', '2566', '615', '2081', '1194', '179', '2121', '1988', '1030', '1843', '1236', '1190', '1736', '1962', '468', '744', '467', '190', '2277', '1201', '2316', '620', '1638', '2206', '1702', '1812', '1370', '2015', '2248', '1715', '2312', '758', '2569', '470', '213', '1967', '586', '139', '2055', '1123', '2127', '1531', '617', '974', '1727', '1849', '2364', '726', '609', '2252', '694', '644', '2380', '2456', '1435', '396', '186', '1313', '1955', '622', '461', '1231', '1469', '1928', '2616', '95', '381', '1408', '1202', '1241', '317', '909', '2353', '2682', '572', '456', '1247', '2633', '946', '322', '1625', '707', '1506', '738', '708', '1175', '931', '2272', '1065', '970', '341', '294', '13', '1739', '1095', '971', '1392', '224', '980', '2419', '2685', '75', '2487', '359', '2092', '1020', '152', '630', '1586', '323', '713', '1818', '506', '1109', '866', '2198', '1349', '1551', '2445', '627', '2615']",228,0.543859649122807
Z213,Fruits & Dietary Items,19,Topic 19: Philippine Halo-Halo Dessert,122,"['900', '441', '990', '1953', '1097', '2566', '2081', '1194', '179', '1988', '1843', '1236', '1190', '1736', '744', '467', '1201', '2316', '620', '2518', '1702', '1370', '2015', '2248', '1694', '584', '2312', '758', '513', '470', '2569', '2201', '142', '1123', '50', '1531', '617', '974', '1727', '1849', '2613', '609', '2252', '504', '694', '1155', '2380', '309', '268', '968', '1435', '186', '1218', '461', '1231', '1469', '2616', '95', '1483', '1408', '1202', '1241', '909', '2169', '2062', '2682', '196', '456', '1247', '634', '2633', '322', '2105', '1625', '707', '1506', '738', '1175', '872', '931', '2272', '1802', '1065', '970', '1420', '2407', '341', '294', '550', '438', '289', '13', '1739', '1095', '650', '1392', '224', '2419', '1504', '75', '2487', '2685', '359', '2092', '630', '323', '713', '917', '890', '1818', '506', '1109', '866', '46', '2198', '429', '1349', '2445', '627', '1009', '1413', '2209']",228,0.5350877192982456
Z29,Ube and Caramel Ice Cream,19,Topic 19: Philippine Halo-Halo Dessert,122,"['441', '1653', '1097', '2117', '615', '1194', '179', '2121', '1843', '1190', '744', '467', '190', '2277', '1201', '2316', '1466', '620', '1702', '1370', '1787', '939', '2248', '1715', '1694', '584', '2312', '2569', '470', '1529', '372', '875', '2536', '1967', '1853', '586', '2055', '142', '1123', '1531', '974', '1849', '2364', '2613', '726', '1046', '1155', '644', '309', '268', '1435', '1218', '1487', '1062', '2306', '622', '1231', '2616', '95', '344', '1408', '1202', '1241', '909', '2169', '2682', '572', '1247', '634', '2633', '946', '1498', '1625', '707', '26', '1506', '738', '708', '1175', '872', '931', '1065', '970', '1420', '2254', '294', '550', '1704', '155', '438', '289', '13', '1739', '1095', '650', '1392', '2419', '1504', '75', '2487', '2685', '1846', '359', '1020', '152', '630', '1586', '323', '713', '917', '1191', '1818', '506', '1109', '1349', '1551', '1997', '2445', '627', '1009', '1413', '2209']",228,0.5350877192982456
Z1193,Conversational English and Accents,1,Topic 1: Learning and Speaking Foreign Language,115,"['427', '36', '273', '2013', '2591', '1376', '428', '2310', '2498', '899', '2439', '1582', '471', '1948', '1897', '1228', '319', '1355', '2653', '1931', '1898', '1658', '1486', '671', '1173', '2382', '2315', '481', '2335', '1621', '346', '538', '1574', '2479', '1986', '520', '215', '1762', '711', '742', '2098', '1467', '1433', '1611', '2522', '2497', '268', '1271', '1747', '2692', '2133', '264', '2477', '265', '123', '2140', '201', '717', '267', '2102', '1246', '1428', '116', '782', '1365', '293', '2575', '1628', '1941', '1541', '683', '2160', '1686', '1256', '2511', '230', '1934', '2330', '2285', '1989', '1443', '2657', '675', '401', '1533', '1562', '551', '1902', '2592', '2588', '991', '2396', '2553', '368', '1538', '2340', '392', '2070', '917', '2122', '2370', '519', '678', '1431', '1514', '1792', '655', '1827', '2408', '1244', '587', '1081', '1881', '2234', '836']",258,0.4457364341085271
Z219,Holiday and Birthday Celebrations,2,Topic 2: Christmas Season & Celebration,113,"['258', '277', '427', '1352', '1992', '2148', '658', '1875', '973', '568', '223', '657', '1432', '2530', '2400', '2439', '1086', '2703', '1797', '620', '926', '2021', '2228', '1012', '2344', '1793', '369', '2249', '35', '357', '200', '1272', '1033', '985', '1584', '2262', '2669', '1161', '2556', '389', '1155', '2359', '5', '2525', '850', '1007', '1817', '873', '2551', '1490', '1559', '1375', '1099', '531', '2080', '1305', '646', '1519', '1202', '2561', '61', '399', '2502', '377', '1268', '2229', '1087', '777', '1037', '478', '959', '149', '1612', '1276', '1545', '23', '296', '47', '1576', '2331', '2511', '1523', '292', '1613', '129', '1359', '270', '218', '2379', '1485', '2213', '1586', '1171', '324', '2538', '2084', '847', '879', '1650', '2390', '134', '1051', '1102', '804', '2437', '529', '1054', '1117', '2402', '1076', '2409', '44', '2404']",205,0.551219512195122
