Topic,Custom Label
-1,Outliers
0,Delicious Dishes and Dining
1,Learning and Speaking Foreign Language
2,Christmas Season & Celebration
3,Experiences of Children in Community & Culture
4,"Military Assets, Combat, Strategies"
5,Barber Services
6,Wildlife Species & Conservation
7,Makeup Products and Application
8,Philippines’ Dating & Relationship of Females
9,Travel to Taiwan & Destinations
10,Swimming with Whale Sharks 
11, Black Experiences and Acceptance
12,Drinking Culture & Practices
13,Balut and other Eggs
14,Spanish Colonialism in the Philippines
15,Walking by the Beach Experience
16,Philippine Monkey Eating Eagle
17,Filipino Partner & Tourist Visas
18,Sagada Burial Caves & Hanging Coffins
19,Philippine Halo-Halo Dessert
20,Travel Immigration & Visa Processes
21,Banaue Rice Terraces
22,Discussing Prejudice Against Women
23,Seasons and Weather 
24,Manny Pacquaio (National Icon)
25,Military and its Subunits
26,Local Coffee and Coffee Shops
27,Listening & Watching Loved Ones Depart 
28,Mixed Martial Arts and Fighting 
29,Medical Diagnostics & Hospital Services 
30,Wealthy & Rich Tourists Travelling
31,Severe Weather & Life in Storm-Prone Regions 
32,Dogs
33,San Miguel Corporation
34,Squid
35,Famous and Expensive Wedding Gowns
36,Officer Meijii Yoshimi and the Onoda Incident
37,Masculine and Feminine Energy in Writing
38,Basilicas and Cathedrals in the Philippines
39,Racial Discrimination
40,Largest Solar Power Projects in Manila / Southeast Asia
41,Personal Experiences of War and Persecution
42,Philippine Love Teams featuring Daniel Padilla
43,Trip to a Beach Destination
44,Dating & Relationships Setup
45,Virtual Private Networks (VPNs) and Online Security
46,National Flag
47,Singing and Dancing Stars
48,Friendships
49,"Bibingka, Bisaya Language, and Personal Anecdotes "
50,LGBTQIA Community
51,Historical States of the Southeast Asian Archipelago
52,Poverty Porn Content in YouTube
53,War & Conflict in Cuba & Spain
54,Manila Cathedral
55,Food & Destination in Baguio
56,Suspension of Classes in Schools
57,Filipino Marriage
58,Drinks & Relaxation by the Pool
59,Rainy Season
60,Louis Huang (International Actor)
61,Visa & Bureau of Immigration
62,Cinema & Watching Movies
63,Filipino Food
64,"Bonifacio Global City, Taguig, Metro Manila"
65,Satisfying Hunger with Delicious Food
66,Pinay Moms Content and Viewer Engagement 
67,Language Education and Learning Experiences
68,Children's Lives and Relationships 
69,Athletes Playing Racket Sports
70,Physical Characteristics of the Tamaraw Dwarf Buffalo
71,Dog Losing / Being Lost
72,Watching Kwentong Jollibee Commercial
73,Chinatown Manila
74,Philippine Beauty Pageant & Miss Universe
75,Internet Connectivity in Tourist Destinations
76,Watching Violent Events 
77,Rizal Park Monument & Manila Cemetery
78,Funny Conversations and Socializing ft. Bob Marley
79,Kids Asking Aunt to Charge Phone
80,Filipino Marriage Tradition
81,Coconut Varieties and Production
82,Skin Color & Beauty
83,Building Materials and Tools for Construction
84,Unclear Repeated Terms (Noise)
85,University and Campuses
86,Characteristics of Filipinas from Davao
87,American Invasion of Hawaii Region and Historical Conflicts
88,Squarespace and Online Content Creation 
89,Mango Fruit
90,Experiences of a First Time Traveler
91,Metro Manila as the National Capital Region
92,Going to Shopping Malls and Street Markets in Manila
93,Island and Beach Travel Experiences
94,Friendly and Romantic Relationships 
95,Filipino Moms doing a Vlog
96,Cats & Rats
97,HipHop and Dancing
98,"Activities and Discussions in Morong, Bataan "
99,Cow & Farm Life
100,Unclear Repeated Terms
101,Korean Presence and Community in Mindanao
102,Friendships
103,"Mixture of Subjects: Jungle, Food, and Pop Culture "
104,Singing of Songs
105,Unclear Repeated Terms
106,Chocolate Hills in Bohol
107,Unclear Repeated Terms
108,Recruiting Scout Rangers
109,Mango Fruit
110,Experiencing Culture Shock
111,Urban Legends and its Variations
112,Cheap Transportation while Travelling
113,Luxury Cars in BGC
114,"Specific Venues: Circle Hall, Hobbit House, and Themed Spots "
115,Bicycle & Tricycle Rental
116,Chicken & its Specific Related Dishes 
117,Filipino Phrases
118,Mommy and Baby's Morning Events 
119,Common Filipino Dishes
120,Winning Games and Excitement 
