Video Id,Video Title
MBtWxCM7NYg,Is this Asia's BIGGEST mall in Manila THE PHILIPPINES! (didnâ€™t go to plan) ðŸ‡µðŸ‡­
O0cIJww,amw_TOP 6 METHODS I USED TO ACQUIRE TAGALOGFILIPINO -  (Tagalog with English Subtitles)
R8-LyHgcl5I,Boracay is PARADISE in The Philippines! (canâ€™t believe I did this..)ðŸ‡µðŸ‡­
Gl2RpA1xS6M,"First Time in Manila, Philippines! Eating Jollibee, taking the metro, and visiting tourist places"
4OiOwDh5lKE,Chef Kuya Joey Is Flying To The Philippines!  ðŸ‡µðŸ‡­
bKCr62Dk7Us,Is This The BEST Filipino Restaurant in Malaysia! ðŸ‡µðŸ‡­ (Kuala Lumpur Mukbang ðŸ‡²ðŸ‡¾)
j7u0a,WH7hQ_Foreigners biggest SURPRISE in the Philippines (random Street interviews)
--8n6A8Q6M0,$200 Luxury Beach Hotel in The Philippines ðŸ‡µðŸ‡­
e2W9UaVhsX0,HOW THE PHILIPPINES CHANGED OUR LIVES FOREVER ðŸ‡µðŸ‡­ AMERICANS REACT
y9iCFcSaD58,PHILIPPINES STREET FOOD Tour - INSANELY DELICIOUS  FIRST TIME Trying JOLLIBEE!
ARMdb7fgfQU,"FOOD TOUR in Binondo, Manila The Philippines! (Worlds Oldest Chinatown) ðŸ‡µðŸ‡­"
MKBogPOM3Ao,Foreigners Try Filipino Food!ðŸ‡µðŸ‡­ BEST PINOY Style FRIED CHICKEN Street Food in Manila Philippin
iM43LN5gdgs,Trying The MUST Eat Filipino Lechon (IS IT GOOD)
k5iXUMHPXb8,SERBIAN tries LUMPIANG SHANGHAI (FILIPINO FOOD)
CBmNk9pSsy4,How Long Does It Take To Be A Doctor In The Philippines  DoktAURA
CUlbqob5Njg,I Tried Filipino Foodâ€¦
mcWEmkXF4ik,"$0.25 Burger in Baguio, Philippines ðŸ‡µðŸ‡­"
F9z7b9ei2Lg,First Time Eating $5 Pizza at GREENWICH in the Philippines ðŸ‡µðŸ‡­ The Best Fast Food Chain
Vx0TqLbcVpc,I'm FINALLY in the Philippines - Manila 1st Impressions ðŸ‡µðŸ‡­
jI23S-mYYeg,3 Best Las Vegas Filipino Restaurants! DELISH Filipino Food!
2ftG8JuMzz4,Top 5 Exotic Foods in the Philippines The BRAVE MUST TRY!
p1LaUfLyYpQ,BEST DIVING IN THE PHILIPPINES (INTERVIEW)  11-10-2017
