Video Title,Link,LDA1 Topics,LDA2 Topics,BERTopic Topics,HLTA Topics,Video_ID
$200 Luxury Beach Hotel in The Philippines ðŸ‡µðŸ‡­,https://www.youtube.com/watch?v=--8n6A8Q6M0,"boracay_island, beach, water, mabuhay_laguna_restaurant, hotel, fun, egg_pudding, walk, head, stay, sizzling_sisig, ferris_wheel, bum_gun, guess, eat, feel, hour, cebu, super, god, minute, night, ocean, perfect, bed, literally, leave, view, sizzling_sisig_pork, coffee","beach, bum_gun, hotel, water, rainy_season, jet, god, super, perfect, ski, head, stay, walk, hour, sand, bed, tide, couple, fun, margarita","-1_minutes_time_bit_guys (32.81%)
0_philippines_island_super_filipino (0.97%)
1_voice_media_singing_actress (0.24%)
2_weather_hot_fireflies_breeze (3.28%)
4_insects_brake_object_boneless (1.94%)
5_traffic_car_jeepney_motorbike (0.73%)
7_blonde_pitt_guy_actor (0.24%)
8_teacher_sapin_napalm_mok (0.12%)
10_champs_steps_gate_final (1.58%)
11_nice_guys_map_fitting (0.36%)
12_cool___ (0.36%)
15_nice_friendly_sundae_lovely (0.85%)
16_table_double_unofficial_list (0.97%)
17_fun_happy_thrill_refreshment (1.70%)
18_margarita_tea_boba_cocktail (1.94%)
19_ummm_authentic_joke_friends (1.34%)
20_delicious_yummy_tasty_comfort (0.24%)
22_video_foreigner_dates_clock (0.61%)
24_coconut_lemon_mango_plantation (0.97%)
25_crazy_ridiculous_surprised_weird (1.82%)
26_approval_worth_combination_times (0.12%)
27_wedding_ceremony_married_marriage (0.49%)
28_blogger_blog_blogs_wisdom (0.36%)
30_brother_birthday_doggie_friends (0.61%)
32_countries_pesto_justice_influences (0.61%)
35_timing_job_song_cow (0.12%)
37_bed_pillows_beds_units (2.43%)
38_clue_idea_yolk_woman (0.97%)
39_beautiful_handsome_gorgeous_beauty (1.94%)
40_beach_secret_tide_beaches (2.79%)
41_gun_bum_wrong_fist (1.09%)
43_island_elf_islands_buffalo (0.61%)
46_busy_weekend_queue_rush (0.36%)
49____ (0.85%)
50_stuff___ (0.97%)
51_plastic_straw_paper_straws (0.36%)
53_honest_fairground_direction_shoulder (0.24%)
54_donut_suspense_gob_calm (0.61%)
55_cheap_games_cheaper_kilo (0.24%)
58_worries_perfect_radius_stress (1.46%)
59_hotel_hostel_balcony_photo (1.58%)
61_boss___ (0.24%)
63_cost_dollars_box_agreement (0.36%)
65_essentials_guys__ (0.12%)
66_minutes_timer_weeks_lemon (0.73%)
68_shoes_size_quality_pair (0.36%)
69_boat_kayaks_kayaking_ship (1.22%)
70_fish_starfish_jellyfish_milkfish (1.34%)
71_sapin_laughs_slang_sayote (0.24%)
72_fantastic_incredible_amazing_salons (0.73%)
73_mini_bar_guys_ (0.36%)
76_shower_wash_essentials_bathroom (1.70%)
79_kambayan_horchata_blog_pot (0.12%)
80_healthy_advice_goodness_bad (0.24%)
84_pesos_dollars_australian_panda (0.24%)
85_view_viewpoint_sight_effigy (0.61%)
88_fast_speed_quick_faster (1.70%)
89_rocks_rock_rocky_mountain (0.36%)
90_entrance_walls_station_kinda (0.36%)
91_tide_diving_snorkelling_scuba (0.97%)
92_brother_mess_care_ (0.49%)
93_province_ethnic_descent_guests (0.24%)
97_mall_sushi_shopping_centre (0.24%)
98_coffee_statue_patty_lots (0.24%)
99_purple_yellow_colour_yam (0.24%)
100_trail_trek_left_rocky (0.12%)
103_lovely_satisfying_bliss_happiness (0.24%)
106_tourists_tourist_domestic_respected (0.24%)
108_control_situation_conversation_patience (0.12%)
109____ (0.85%)
112_advice_bigger_piece_ready (0.12%)
113_hard_exams_edges_challenging (0.24%)
115_jet_ski_skis_advanced (1.94%)
117_freaking_goodness__ (0.97%)
118_egg_duck_eggs_yolk (0.12%)
119____ (0.36%)
121_blue_water_crystal_skilled (1.09%)
122_muffin_ignorance_scallions_saddest (0.24%)
124_hundreds_huge_selection_demand (0.49%)
125_tank_bummer_tops_sizes (0.24%)
126_power_fuel_powerful_gears (1.34%)
127_balcony_terrace_sky_recognisable (0.12%)
129____ (0.12%)
131_guys_nice__ (0.24%)
133_deal___ (0.24%)
134_nana_bad_lot_ (0.36%)
135____ (0.24%)
136_chef_recipe_mainstream_cook (0.24%)
138_map___ (0.49%)
139_tail_lobster_fishing_shrimp (0.24%)
140_breakfast_seating_morning_appetite (0.73%)
141_heavy_shallow_layer_crazy (0.49%)
144_bernard_question_sir_time (0.24%)
145_confident___ (0.24%)
146_appearance_masks_chop_sidekicks (0.24%)
148_hat_darling_brown_disrespectful (1.09%)
149_dangerous_loss_extinction_disaster (0.24%)
150_sir___ (0.12%)
151_days_overs_destinations_trip (0.12%)","adventure, hop, panglao, class, cat, surprise, lapulapu : Level 2 (0.82)
remind, bite, fried, roasted, bit, wrong, pie : Level 2 (1.00)
bohol, bohol-bohol, adventure, panglao, hop, class, hill : Level 1 (0.89)
juice, pineapple, straight, compare, fruit, deal, snack : Level 2 (1.00)
davao, davao-city, island-hop, margarita, lagoon, siargao, red-bull : Level 2 (0.98)
photo, session, goodness, hair : Level 2 (1.00)
listen, helpful, degree, language, visa, museum, hole : Level 2 (0.85)
swim, arrive, typhoon, nature, rent, coconut, cuisine : Level 2 (1.00)
charge, funny, hold, notice, mango, kuala-lumpur, spoon : Level 2 (0.88)
buck, shot, monkey, stair, ship, power, selfie : Level 2 (1.00)
private, wake, entrance, cheap, cafe, south, kill : Level 2 (1.00)
air, sun, plane, local, red : Level 2 (0.93)
roll, carrot, crab, weird, tonight, downstairs, typically : Level 2 (1.00)
lake, mountain, spend, cloud, palm-tree, cheaper, jeepney : Level 2 (1.00)
wife, relationship, husband, stick, blow, gopro, woman : Level 2 (0.98)
swim, episode, arrive, typhoon, lake, travel, mountain : Level 1 (1.00)
answer, list, question, week, chris, journey, beginner : Level 2 (0.98)
whale-shark, diving, oslob, tomorrow, run, ranch, alcohol : Level 2 (1.00)
ice, deep, pour, storm, breakfast, super-super, happen : Level 2 (1.00)
closet, hang, bathroom, edge, morning, cold : Level 2 (1.00)
quick, busy, bed, close, toilet, kitchen, bedroom : Level 2 (0.99)
yesterday, camera, shopping, coffee, intestine, option, main-street : Level 2 (1.00)
perfect, vibe, grab, ice, beef, remember, break : Level 1 (1.00)
hungry, grocery, lucky, gun, mom, pillow, candy : Level 2 (1.00)
airport, chill, flight, crash, head-hotel, palawan, country : Level 2 (1.00)
cheese, classic, salt, soup, salty, ingredient, oyster : Level 2 (0.99)
random, extra, finally, taxi, fridge, driver, milk : Level 2 (0.96)
drinking, feed, enter, bigger, city-manila, design, peaceful : Level 2 (1.00)
beach, explore, weather, road, ride, hotel, car : Level 2 (1.00)
rain, wet, dangerous, brother, resort, bar, destination : Level 2 (1.00)
realize, catch, hat, yellow, chance, menu, totally : Level 2 (1.00)
view, wedding, marriage, stand, manage, freak, culture : Level 2 (0.95)
perfect, remember, beef, literally, honestly, crazy, sunset : Level 2 (1.00)
world, talent, record, shoot, personal, public, ski : Level 2 (0.98)
vibe, grab, break, clean, care, smile, consume : Level 2 (1.00)
pizza, foot, scared, tricycle, wave, scary, pasta : Level 2 (1.00)
pay, drive, tourist, chocolate-hill, boat, ticket, real : Level 2 (1.00)
lemon, flavour, strong, put, dark, cheer, fill : Level 2 (0.98)
beach, air, quick, explore, rain, weather, wet : Level 1 (1.00)
adventure, hop, panglao, class, cat, surprise, lapulapu : Level 2 (0.82)
remind, bite, fried, roasted, bit, wrong, pie : Level 2 (1.00)
bohol, bohol-bohol, adventure, panglao, hop, class, hill : Level 1 (0.89)
juice, pineapple, straight, compare, fruit, deal, snack : Level 2 (1.00)
davao, davao-city, island-hop, margarita, lagoon, siargao, red-bull : Level 2 (0.98)
photo, session, goodness, hair : Level 2 (1.00)
listen, helpful, degree, language, visa, museum, hole : Level 2 (0.85)
swim, arrive, typhoon, nature, rent, coconut, cuisine : Level 2 (1.00)
charge, funny, hold, notice, mango, kuala-lumpur, spoon : Level 2 (0.88)
buck, shot, monkey, stair, ship, power, selfie : Level 2 (1.00)
private, wake, entrance, cheap, cafe, south, kill : Level 2 (1.00)
air, sun, plane, local, red : Level 2 (0.93)
roll, carrot, crab, weird, tonight, downstairs, typically : Level 2 (1.00)
lake, mountain, spend, cloud, palm-tree, cheaper, jeepney : Level 2 (1.00)
wife, relationship, husband, stick, blow, gopro, woman : Level 2 (0.98)
swim, episode, arrive, typhoon, lake, travel, mountain : Level 1 (1.00)
answer, list, question, week, chris, journey, beginner : Level 2 (0.98)
whale-shark, diving, oslob, tomorrow, run, ranch, alcohol : Level 2 (1.00)
ice, deep, pour, storm, breakfast, super-super, happen : Level 2 (1.00)
closet, hang, bathroom, edge, morning, cold : Level 2 (1.00)
quick, busy, bed, close, toilet, kitchen, bedroom : Level 2 (0.99)
yesterday, camera, shopping, coffee, intestine, option, main-street : Level 2 (1.00)
perfect, vibe, grab, ice, beef, remember, break : Level 1 (1.00)
hungry, grocery, lucky, gun, mom, pillow, candy : Level 2 (1.00)
airport, chill, flight, crash, head-hotel, palawan, country : Level 2 (1.00)
cheese, classic, salt, soup, salty, ingredient, oyster : Level 2 (0.99)
random, extra, finally, taxi, fridge, driver, milk : Level 2 (0.96)
drinking, feed, enter, bigger, city-manila, design, peaceful : Level 2 (1.00)
beach, explore, weather, road, ride, hotel, car : Level 2 (1.00)
rain, wet, dangerous, brother, resort, bar, destination : Level 2 (1.00)
realize, catch, hat, yellow, chance, menu, totally : Level 2 (1.00)
view, wedding, marriage, stand, manage, freak, culture : Level 2 (0.95)
perfect, remember, beef, literally, honestly, crazy, sunset : Level 2 (1.00)
world, talent, record, shoot, personal, public, ski : Level 2 (0.98)
vibe, grab, break, clean, care, smile, consume : Level 2 (1.00)
pizza, foot, scared, tricycle, wave, scary, pasta : Level 2 (1.00)
pay, drive, tourist, chocolate-hill, boat, ticket, real : Level 2 (1.00)
lemon, flavour, strong, put, dark, cheer, fill : Level 2 (0.98)
beach, air, quick, explore, rain, weather, wet : Level 1 (1.00)
",--8n6A8Q6M0
Philippines Army vs Thailand Army,https://www.youtube.com/watch?v=0IMWasj76yU,"sad_salt_puppy, hong_kong, hobbit_house, salted_egg, chest_voice_mix, helicopters_power_troopers, cliff_diving_series, dipping_sauce, water, armed_forces_armed, strongest_military_strongest, navy_navy, house, watch, concert_live, steel_steel, black_hair, tnt_boys, voice, car_phoenix, switch, glass_block, plane_crash, shrimp_piece, finish, style, sit, door, dance, island","sad_salt_puppy, helicopters_power_troopers, strongest_military_strongest, armed_forces_armed, navy_navy, sad_salt, forces_armed_forces, military_strongest_military, sea_ground, strongest_strongest_strongest, helicopters_power, win, air, sea, military, sad, force, tank, kamusta, arm",0_philippines_island_super_filipino (100.00%),[],0IMWasj76yU
Tour of The House We Built in The Philippines,https://www.youtube.com/watch?v=1kErCqgIVMk,"sad_salt_puppy, hong_kong, hobbit_house, salted_egg, chest_voice_mix, helicopters_power_troopers, cliff_diving_series, dipping_sauce, water, armed_forces_armed, strongest_military_strongest, navy_navy, house, watch, concert_live, steel_steel, black_hair, tnt_boys, voice, car_phoenix, switch, glass_block, plane_crash, shrimp_piece, finish, style, sit, door, dance, island","steel_steel, glass_block, water, house, build, door, floor, light, finish, tile, grill, handmade, glass, enjoy, design, start, table, tour, pump, sun",-1_minutes_time_bit_guys (100.00%),"air, sun, plane, local, red : Level 2 (0.86)
plan, money, send, shop, dry, hand, plant : Level 2 (0.98)
wife, relationship, husband, stick, blow, gopro, woman : Level 2 (0.99)
ice, deep, pour, storm, breakfast, super-super, happen : Level 2 (0.72)
closet, hang, bathroom, edge, morning, cold : Level 2 (1.00)
quick, busy, bed, close, toilet, kitchen, bedroom : Level 2 (1.00)
yesterday, camera, shopping, coffee, intestine, option, main-street : Level 2 (0.88)
eye, son, tradition, fall, navy, tomato, max-style : Level 2 (0.57)
security, block, makatus, global, sauce-sauce, ramadan, pot : Level 2 (0.59)
beach, air, quick, explore, rain, weather, wet : Level 1 (0.72)
air, sun, plane, local, red : Level 2 (0.86)
plan, money, send, shop, dry, hand, plant : Level 2 (0.98)
wife, relationship, husband, stick, blow, gopro, woman : Level 2 (0.99)
ice, deep, pour, storm, breakfast, super-super, happen : Level 2 (0.72)
closet, hang, bathroom, edge, morning, cold : Level 2 (1.00)
quick, busy, bed, close, toilet, kitchen, bedroom : Level 2 (1.00)
yesterday, camera, shopping, coffee, intestine, option, main-street : Level 2 (0.88)
eye, son, tradition, fall, navy, tomato, max-style : Level 2 (0.57)
security, block, makatus, global, sauce-sauce, ramadan, pot : Level 2 (0.59)
beach, air, quick, explore, rain, weather, wet : Level 1 (0.72)
",1kErCqgIVMk
VOCAL COACH REACTS - REGINE VELASQUEZ - Araw-Gabi,https://www.youtube.com/watch?v=2TmagN6RhkI,"sad_salt_puppy, hong_kong, hobbit_house, salted_egg, chest_voice_mix, helicopters_power_troopers, cliff_diving_series, dipping_sauce, water, armed_forces_armed, strongest_military_strongest, navy_navy, house, watch, concert_live, steel_steel, black_hair, tnt_boys, voice, car_phoenix, switch, glass_block, plane_crash, shrimp_piece, finish, style, sit, door, dance, island","chest_voice_mix, voice, switch, feel, song, incredible, completely, stream, wonderful, hear, invisible, singer, ton, react, melody, forget, fluent, finish, color, absolutely",1_voice_media_singing_actress (100.00%),"singer, voice, performance, bell, regine-velasquez, morissette-amon, morissette : Level 2 (1.00)
sing, singing, vocal, stage, tnt-boy, note, male : Level 2 (0.99)
sing, singer, voice, singing, performance, vocal, bell : Level 1 (1.00)
singer, voice, performance, bell, regine-velasquez, morissette-amon, morissette : Level 2 (1.00)
sing, singing, vocal, stage, tnt-boy, note, male : Level 2 (0.99)
sing, singer, voice, singing, performance, vocal, bell : Level 1 (1.00)
",2TmagN6RhkI
Top 5 Exotic Foods in the Philippines The BRAVE MUST TRY!,https://www.youtube.com/watch?v=2ftG8JuMzz4,"social_media, coming_list, meat, social_media_presence, milk_tea_mcfloat, taste, add, dish, sinigang_sinigang, soup, potato, balut, egg, cook, eat, tamilok, happy_birthday, mumbling_background, playing_background, milk_tea, cream_wheat, campus, island, market, deb, etag, duck, hot, salt, debo","coming_list, meat, tamilok, balut, soup, etag, dish, kamaru, exotic, eat, egg, taste, salt, duck, vinegar, cure, cricket, delicacy, garlic, insect","-1_minutes_time_bit_guys (31.51%)
0_philippines_island_super_filipino (2.74%)
2_weather_hot_fireflies_breeze (1.37%)
3_food_filipino_pork_chili (15.07%)
8_teacher_sapin_napalm_mok (1.37%)
9_pork_ribs_meat_shoulder (9.59%)
13_rice_sticky_pudding_terraces (2.74%)
20_delicious_yummy_tasty_comfort (1.37%)
22_video_foreigner_dates_clock (4.11%)
29_chicken_fries_gravy_joy (1.37%)
54_donut_suspense_gob_calm (2.74%)
55_cheap_games_cheaper_kilo (1.37%)
65_essentials_guys__ (1.37%)
76_shower_wash_essentials_bathroom (2.74%)
81_soup_broth_bun_instant (9.59%)
87_cassava_creamy_cheese_molds (1.37%)
111_vegetables_salad_onion_green (1.37%)
118_egg_duck_eggs_yolk (6.85%)
139_tail_lobster_fishing_shrimp (1.37%)","onion, pepper, cut, potato, size : Level 2 (0.87)
adobo, food, insect, veggie, tender, atchara, dip : Level 2 (1.00)
swim, arrive, typhoon, nature, rent, coconut, cuisine : Level 2 (0.99)
air, sun, plane, local, red : Level 2 (0.99)
swim, episode, arrive, typhoon, lake, travel, mountain : Level 1 (0.98)
answer, list, question, week, chris, journey, beginner : Level 2 (1.00)
ice, deep, pour, storm, breakfast, super-super, happen : Level 2 (0.52)
episode, travel, meeting : Level 2 (0.93)
cheese, classic, salt, soup, salty, ingredient, oyster : Level 2 (1.00)
crunchy, mukbang, serve, foodie, crispy, juicy, spicy-spicy : Level 2 (1.00)
oil, team, wash, lumpiang-shanghai, lee, max, medium : Level 2 (0.99)
vibe, grab, break, clean, care, smile, consume : Level 2 (0.96)
spicy, garlic, chili, noodle, sweet-sweet, spice, yum : Level 2 (0.89)
onion, pepper, cut, potato, size : Level 2 (0.87)
adobo, food, insect, veggie, tender, atchara, dip : Level 2 (1.00)
swim, arrive, typhoon, nature, rent, coconut, cuisine : Level 2 (0.99)
air, sun, plane, local, red : Level 2 (0.99)
swim, episode, arrive, typhoon, lake, travel, mountain : Level 1 (0.98)
answer, list, question, week, chris, journey, beginner : Level 2 (1.00)
ice, deep, pour, storm, breakfast, super-super, happen : Level 2 (0.52)
episode, travel, meeting : Level 2 (0.93)
cheese, classic, salt, soup, salty, ingredient, oyster : Level 2 (1.00)
crunchy, mukbang, serve, foodie, crispy, juicy, spicy-spicy : Level 2 (1.00)
oil, team, wash, lumpiang-shanghai, lee, max, medium : Level 2 (0.99)
vibe, grab, break, clean, care, smile, consume : Level 2 (0.96)
spicy, garlic, chili, noodle, sweet-sweet, spice, yum : Level 2 (0.89)
",2ftG8JuMzz4
"Balut!!!!! - Manila, Philippines - Now United",https://www.youtube.com/watch?v=3n1nspLgfd4,"boracay_island, beach, water, mabuhay_laguna_restaurant, hotel, fun, egg_pudding, walk, head, stay, sizzling_sisig, ferris_wheel, bum_gun, guess, eat, feel, hour, cebu, super, god, minute, night, ocean, perfect, bed, literally, leave, view, sizzling_sisig_pork, coffee; social_media, coming_list, meat, social_media_presence, milk_tea_mcfloat, taste, add, dish, sinigang_sinigang, soup, potato, balut, egg, cook, eat, tamilok, happy_birthday, mumbling_background, playing_background, milk_tea, cream_wheat, campus, island, market, deb, etag, duck, hot, salt, debo","taste, night, duck, live, arrive, close, baby, hope, bad, vice, wake, late, egg, fetus, level, balut, boy, book, cebu, engine",3_food_filipino_pork_chili (100.00%),"swim, episode, arrive, typhoon, lake, travel, mountain : Level 1 (0.67)
swim, episode, arrive, typhoon, lake, travel, mountain : Level 1 (0.67)
",3n1nspLgfd4
Did China Buy the Philippines With False Investment Promises,https://www.youtube.com/watch?v=401ZvQ11euA,"bruce_lee, global_global_global, runs_hitting_harmonies, south_sea, duterte, add, fawkes_night, apply_visa, asian_male, pinoy_planet, panda_salt, debt_trap, pork_shoulder, pork_meat, play_basketball, plant_flag, dollar, build_build, potato, voice, longanisa, john, excite, pictures_pictures, experiences_experiences, watch, butter, night, gram, phone","south_sea, duterte, plant_flag, debt_trap, dollar, build_build, investment, hotel, jetski, pledge, province, uncensored, infrastructure, hand, support, answer, project, jia, episode, aid","-1_minutes_time_bit_guys (21.52%)
0_philippines_island_super_filipino (3.80%)
2_weather_hot_fireflies_breeze (1.27%)
4_insects_brake_object_boneless (1.27%)
7_blonde_pitt_guy_actor (1.27%)
11_nice_guys_map_fitting (1.27%)
14_investment_aid_billions_dollars (51.90%)
18_margarita_tea_boba_cocktail (1.27%)
47_host_blog__ (2.53%)
53_honest_fairground_direction_shoulder (1.27%)
58_worries_perfect_radius_stress (1.27%)
59_hotel_hostel_balcony_photo (3.80%)
63_cost_dollars_box_agreement (1.27%)
65_essentials_guys__ (1.27%)
85_view_viewpoint_sight_effigy (1.27%)
120_burger_sandwich_burgers_cents (1.27%)
140_breakfast_seating_morning_appetite (1.27%)
147_comments_reviews_detailed_stuff (1.27%)","bay, event, joke, support, social, feeling, scam : Level 2 (0.87)
plan, money, send, shop, dry, hand, plant : Level 2 (1.00)
ceremony, dress, trade, sponsor, special, chain, pocket : Level 2 (1.00)
swim, episode, arrive, typhoon, lake, travel, mountain : Level 1 (0.75)
answer, list, question, week, chris, journey, beginner : Level 2 (1.00)
episode, travel, meeting : Level 2 (0.99)
town, short, character, worry, owner, paper, king : Level 2 (0.65)
bay, event, joke, support, social, feeling, scam : Level 2 (0.87)
plan, money, send, shop, dry, hand, plant : Level 2 (1.00)
ceremony, dress, trade, sponsor, special, chain, pocket : Level 2 (1.00)
swim, episode, arrive, typhoon, lake, travel, mountain : Level 1 (0.75)
answer, list, question, week, chris, journey, beginner : Level 2 (1.00)
episode, travel, meeting : Level 2 (0.99)
town, short, character, worry, owner, paper, king : Level 2 (0.65)
",401ZvQ11euA
Chef Kuya Joey Is Flying To The Philippines!  ðŸ‡µðŸ‡­,https://www.youtube.com/watch?v=4OiOwDh5lKE,"boracay_island, beach, water, mabuhay_laguna_restaurant, hotel, fun, egg_pudding, walk, head, stay, sizzling_sisig, ferris_wheel, bum_gun, guess, eat, feel, hour, cebu, super, god, minute, night, ocean, perfect, bed, literally, leave, view, sizzling_sisig_pork, coffee","mashed_potatoes, hotel, salad, peach, chicken, flavor, mango, cumin, cebu, leaf, fry, cherry, ganda, grape, guess, butter, taste, pool, arrive, choose",3_food_filipino_pork_chili (100.00%),"swim, arrive, typhoon, nature, rent, coconut, cuisine : Level 2 (0.72)
jollibee, fry, fry-chicken, spaghetti, burger, jollibee-jollibee, hot-dog : Level 2 (0.90)
lemon, flavour, strong, put, dark, cheer, fill : Level 2 (0.50)
swim, arrive, typhoon, nature, rent, coconut, cuisine : Level 2 (0.72)
jollibee, fry, fry-chicken, spaghetti, burger, jollibee-jollibee, hot-dog : Level 2 (0.90)
lemon, flavour, strong, put, dark, cheer, fill : Level 2 (0.50)
",4OiOwDh5lKE
Filipino Food In The Netherlands  Cafe Nordrick!!,https://www.youtube.com/watch?v=6ftiWoCJ4dM,"avoid_scammed_broken, hong_kong, feel, cebu_city, drinking_etiquette, chicken, meet, family, sing, eat, drink, father, brother, heal_broken_heart, start, sleeping_beauty, dr_wine, call, broken_heart_feels, talk, spanish, hotel, stuff, culture, trip, money, tomorrow, tour, restaurant, break","hague, bread, cafe, coffee, feel, enjoy, longsiloc, stay, husband, meet, customer, atmosphere, popular, bijenkorf, batangas, burgwal, dish, barako, breda, menu","3_food_filipino_pork_chili (66.67%)
98_coffee_statue_patty_lots (33.33%)","bay, event, pandesal, realize, longanisa, pinoy-planet, joke : Level 1 (0.91)
bay, event, pandesal, realize, longanisa, pinoy-planet, joke : Level 1 (0.91)
",6ftiWoCJ4dM
Approve ba ako sa anak at mama ni misterðŸ¤”Mia Sandoval,https://www.youtube.com/watch?v=7jDrzdX2Ucc,"bruce_lee, global_global_global, runs_hitting_harmonies, south_sea, duterte, add, fawkes_night, apply_visa, asian_male, pinoy_planet, panda_salt, debt_trap, pork_shoulder, pork_meat, play_basketball, plant_flag, dollar, build_build, potato, voice, longanisa, john, excite, pictures_pictures, experiences_experiences, watch, butter, night, gram, phone","fawkes_night, apply_visa, john, phone, night, proper, sell, bonfire, tell, burn, family, pallet, battery, eye, girl, palanca, plan, maja, watch, come",0_philippines_island_super_filipino (100.00%),"charge, funny, hold, notice, mango, kuala-lumpur, spoon : Level 2 (0.58)
english, tagalog, accent, proper, earlier, walk-hill, sunday : Level 2 (1.00)
wife, relationship, husband, stick, blow, gopro, woman : Level 2 (1.00)
hungry, grocery, lucky, gun, mom, pillow, candy : Level 2 (0.96)
eye, son, tradition, fall, navy, tomato, max-style : Level 2 (0.85)
true, agree, regular, cooking, dinner, life, garlic-flavor : Level 2 (0.68)
charge, funny, hold, notice, mango, kuala-lumpur, spoon : Level 2 (0.58)
english, tagalog, accent, proper, earlier, walk-hill, sunday : Level 2 (1.00)
wife, relationship, husband, stick, blow, gopro, woman : Level 2 (1.00)
hungry, grocery, lucky, gun, mom, pillow, candy : Level 2 (0.96)
eye, son, tradition, fall, navy, tomato, max-style : Level 2 (0.85)
true, agree, regular, cooking, dinner, life, garlic-flavor : Level 2 (0.68)
",7jDrzdX2Ucc
